t,inf-count-mean,inf-count-std,inf-count-list,radius-mean(um),radius-std(um),radius-list(um),area-mean(um2),area-std(um2),area-list(um2),max-radial-velocity-mean(um/min),max-radial-velocity-std(um/min),max-radial-velocity-list(um/min),radial-velocity-mean(um/min),radial-velocity-std(um/min),radial-velocity-list(um/min),speed-mean(um/min),speed-std(um/min),speed-list(um/min)
20.0,22.642857142857142,21.816039063944682,"[3, 11, 11, 11, 3, 8, 29, 15, 18, 22, 80, 11, 45, 50]",132.1591909169418,106.73247289211358,"[47.516575916386444, 64.87547148019061, 58.22610531040227, 74.08366080505962, 19.264987551192693, 66.01425409158882, 396.03496646354785, 72.26250693579428, 118.83950061032701, 341.57503116807766, 177.0327549446345, 107.13433605115394, 131.1241843935421, 176.24433711528775]",56372.27381553175,91724.33950856916,"[2156.069510719157, 10944.636311028124, 8031.055304320628, 12686.97180115656, 206.17589279780958, 7755.070194328479, 365254.3221297626, 13551.10237831186, 23515.114110126215, 96736.44049978239, 93033.02157600445, 22459.296540247105, 52787.49273064304, 80095.06443821602]",0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
20.17,24.928571428571427,23.7210204921039,"[3, 13, 11, 13, 3, 8, 31, 16, 23, 27, 87, 11, 50, 53]",169.35322279032673,152.72446448662996,"[48.38648158543926, 76.94907264624271, 58.25860884407804, 73.58667450261568, 18.622182458929284, 66.17520854515497, 467.9380300805325, 72.3059835689765, 412.6863111688623, 463.53071233310254, 182.75178142412722, 109.32993779992658, 149.61686706985355, 170.8072670367328]",132935.90019345976,203953.97320750184,"[2064.2450118216584, 14213.386110540856, 8080.420766980709, 13240.589589729034, 187.82162667679634, 7774.9091382677425, 583453.5553532629, 13939.04272430928, 565365.0651015603, 384756.23630583595, 95232.17872323701, 23550.514725045683, 64303.39911689434, 84941.23841427443]",0.16582372100742265,0.06232263941011448,"[0.12672508130832275, 0.11199724952137127, 0.1500372801114819, 0.28873855568352064, 0.0006780497420493248, 0.1690452566319428, 0.22880986447366433, 0.20486659661034795, 0.18951724718228913, 0.15842516666150122, 0.15337212988628462, 0.19294763911716767, 0.16308771748350945, 0.18328425969046364]",0.09618393252556116,0.07488566955587878,"[0.12672508130832275, 0.041553448262996194, 0.0014248542043588822, 0.24983123273209323, -0.06839226114422887, 0.11741823289293728, 0.1922436383783954, 0.09111771788081752, 0.038504830456455294, 0.11124336659314084, 0.0980038251085821, 0.12123551009623858, 0.09737670202251354, 0.1282888765652336]",0.2375867217254454,0.06498603676692033,"[0.3593062396763609, 0.26564531803216423, 0.20851991604373507, 0.31238162847004874, 0.08493906171423837, 0.2870266884389038, 0.2575181672651405, 0.20507923014893667, 0.2821633653308801, 0.1650506398474204, 0.20586534964444114, 0.2316203760520158, 0.2032229919326288, 0.2578751315593209]"
20.33,26.071428571428573,24.80528568273701,"[4, 14, 12, 13, 3, 9, 31, 16, 23, 28, 92, 13, 51, 56]",174.86314337903585,167.5410566674714,"[40.676780481242034, 90.68796034953466, 65.9316996510951, 75.34982051635623, 19.05603123578817, 72.41734804003826, 468.4397548553095, 72.4563267897089, 618.8859810143458, 288.3235375023156, 186.2800087152257, 111.12997004345073, 155.2798170579678, 183.1689710541236]",137810.42330139905,238297.83913714197,"[2161.6268256336466, 18393.6169417827, 9170.873103030895, 13838.073485545054, 191.57998152413845, 10139.903914239178, 586003.5488694423, 14232.602141092928, 812381.9350036784, 183928.743717044, 100494.54168580426, 24486.218094070595, 66405.92361180225, 87516.73884489604]",0.16968732340747605,0.058563310626504377,"[0.14285231892186862, 0.23089625189387233, 0.1173376941261404, 0.2848683686417658, 0.017059138844164146, 0.17801250202761634, 0.228827470982447, 0.18298361848630207, 0.17730398889414162, 0.17461403671596484, 0.15563256576041257, 0.16640939584373, 0.16001439367268616, 0.158810782893553]",0.10035051276695095,0.07856470704066387,"[0.05378048743248248, 0.2345863743476601, 0.058784047422536116, 0.221941535352014, 0.0029359199686077495, 0.21626507786183777, 0.012436161380136469, 0.09639322997618702, -0.018840853922456116, 0.05656737627938588, 0.13959734798075235, 0.13022386941992167, 0.11572016529261082, 0.08451643994563698]",0.27525941785945557,0.06839784921516483,"[0.23468846841812438, 0.377248535901404, 0.22113655454013317, 0.32682962103311924, 0.22144933554541044, 0.43009504202950355, 0.24729161987762527, 0.2394259189474244, 0.33749525630266003, 0.3323567692526751, 0.23075375838867704, 0.2184206278973879, 0.2242024551079525, 0.21223788679028083]"
20.5,27.214285714285715,26.027141370348144,"[4, 14, 13, 14, 3, 9, 33, 16, 22, 29, 97, 16, 53, 58]",200.43387096031748,237.67603984054418,"[49.97821616962927, 92.93225228652702, 71.16778178683633, 73.94806631946012, 18.138247372917608, 73.8256851256517, 823.0356619461656, 76.5423895322152, 710.9517450738933, 180.93320230574167, 184.87475691196622, 109.66205086757621, 156.3382146547282, 183.74592309113606]",168868.08636522855,330886.23256876395,"[2283.6084037406704, 19339.113715678108, 9444.126095854492, 14812.330902063442, 178.80154425956297, 10667.573104522642, 1127533.4605011195, 16225.106801943288, 793238.5968983693, 84165.18345017845, 99864.384948953, 30039.58547009795, 67638.92587265205, 88722.4114037671]",0.1697083031612907,0.05446369138879277,"[0.17040421214004506, 0.20127004400038637, 0.13494571228887356, 0.2704431848565277, 0.017059138844164146, 0.21463819069562912, 0.21972133695010237, 0.16737330140339182, 0.19064199425756162, 0.16549945348231493, 0.15983608145106104, 0.15036435841040482, 0.16358834169028993, 0.15013089378731734]",0.08777889827809572,0.07980891458348693,"[0.14256484061721028, 0.1278920703319201, -0.018874777275624352, 0.20042467385613688, -0.11812844854892407, 0.12583103519875072, 0.04224531274827258, 0.07233610396861002, 0.12006566330093918, 0.1425390001994941, 0.15375012363453514, 0.019276722009238675, 0.1219721558263489, 0.09701010002643198]",0.23970310373803436,0.03806321581642089,"[0.2773495514889522, 0.2528815225854681, 0.2172957060780318, 0.269590104833034, 0.18018471608018372, 0.3263098341125325, 0.1884854959323793, 0.2263447031934043, 0.25660393671804343, 0.20426642796544686, 0.23774572694100218, 0.268563329930741, 0.24311433064085433, 0.20710806583240707]"
20.67,28.785714285714285,28.309222665274437,"[4, 14, 13, 15, 3, 9, 33, 18, 20, 31, 104, 17, 60, 62]",180.37977861348648,197.56811497285307,"[51.20025916158644, 94.34190650440965, 67.07501218845198, 78.25459213073039, 17.70454043375877, 75.28763856918525, 820.7910322082407, 82.99147041769083, 367.9417807704277, 217.1693152990473, 196.49610653919808, 111.37443306171332, 160.00294938301585, 184.6858639213546]",126790.3925084128,277734.6179551024,"[2356.2702112925267, 19872.632274336516, 9868.55222598187, 16280.300693668887, 194.6144807803526, 10973.279406826063, 1111377.176181543, 19033.15106160068, 176294.57456965785, 104503.4004332547, 107346.9785672913, 30953.714187956833, 70644.02572078467, 95366.82510280375]",0.1593282518749996,0.05316169688682396,"[0.13033611659433056, 0.1919277236311814, 0.10978754909867625, 0.26065634862855236, 0.017059138844164146, 0.17628991979749056, 0.1976283793008518, 0.1506716661352108, 0.20033204693030146, 0.15822270476835354, 0.1628995450031541, 0.13434591003459953, 0.18276362437402746, 0.15767485310910034]",0.0988859665909565,0.05656236766180816,"[0.12868008430449507, 0.12673093597925109, 0.019247751540750743, 0.20654865858469634, -0.020603088294603392, 0.08890144298628484, 0.06250631328626358, 0.0704229616316664, 0.13073038975283358, 0.052576564036785144, 0.11465179028958232, 0.16503006609544876, 0.12456286759859136, 0.11441679448134502]",0.2591360582270078,0.05513264582087719,"[0.19573141902894325, 0.23119349471643585, 0.25935527328892244, 0.33731412754480283, 0.17314007314441004, 0.24817947867643347, 0.3087377680200487, 0.22594160696368681, 0.28884728591559283, 0.23828559063902402, 0.22174977241813507, 0.39067537598419844, 0.27020464219171014, 0.2385489066457654]"
20.83,30.214285714285715,29.773965321888365,"[4, 14, 12, 15, 3, 9, 32, 19, 22, 35, 107, 19, 63, 69]",152.2733728258018,121.0464535389536,"[51.87716902343154, 95.40067719008943, 68.14212386680543, 79.09730264920871, 19.06331864011428, 77.31697046058636, 470.5922663953844, 89.91656459219996, 366.2761335757538, 131.78240241611633, 206.74491116929732, 129.49872396040237, 162.12697944654067, 183.99167617529457]",102232.11273217962,167118.0199311075,"[2451.690505733771, 20139.28482110413, 10157.947610551213, 17116.909372474754, 216.27541488464578, 11501.35082923093, 596380.6020390332, 21230.884891647278, 385806.5720515605, 42309.49219730175, 114676.83444433012, 37784.9895717143, 72707.12821028635, 98769.61629066194]",0.15220112262390104,0.046815206190652416,"[0.13815351755186972, 0.1688936562279189, 0.11550272244979236, 0.2443401407561951, 0.018965236672718825, 0.18341515923024723, 0.15302999749795815, 0.17589201609697308, 0.15937319719013607, 0.15435736132722372, 0.14789441049114532, 0.1439018559699261, 0.18201241066411886, 0.1450840346083913]",0.10174271895788645,0.04098495213524401,"[0.1235838715670873, 0.0778855564237492, 0.0056278000520067345, 0.1433050619070512, 0.12215679785332757, 0.08293726402806148, 0.1295685650052785, 0.09967896295328534, 0.06393253684196197, 0.07806736485332497, 0.09500678035288258, 0.16197985121358355, 0.16276512219132164, 0.07790253016748824]",0.22884249366237833,0.04096530467142994,"[0.24970864360100434, 0.20764631399686223, 0.22034752229966115, 0.29649167683634653, 0.1447925532969566, 0.2694231657845252, 0.24002413600825803, 0.2097747924977353, 0.22093380079577807, 0.20988642459300724, 0.18896717444746533, 0.30248809139366645, 0.24637614587393025, 0.19693446984809979]"
21.0,32.357142857142854,32.6652182530055,"[4, 15, 13, 15, 4, 9, 33, 19, 21, 40, 118, 21, 70, 71]",152.85078482307546,102.58573657171942,"[52.43878386690876, 96.98835521465217, 74.46997539943189, 83.3243602085644, 34.136420004639426, 78.69120553621546, 373.2050411498853, 92.1470721775369, 365.17358559056316, 186.0573456513604, 210.73328128951346, 134.98787796286098, 170.97865755212763, 186.57902591879667]",89702.22447903294,124227.33883922076,"[2395.4682023430346, 20801.4674545434, 10651.34121385828, 18347.196051719544, 572.8392466276156, 11737.80451711361, 376440.48297345877, 22712.895915479938, 385210.8211134519, 64848.83581407508, 122141.62642752068, 41308.99962346481, 77556.47413767451, 101104.89001513022]",0.14794873359384514,0.04482070787379155,"[0.14536556542531792, 0.16267291465342143, 0.10422887926421356, 0.2426444214865373, 0.023734520253188073, 0.16282498789188588, 0.14880790078071965, 0.17605887830350733, 0.14885443783460706, 0.14356893005459448, 0.1504410742936137, 0.14648231517363688, 0.17118839943708658, 0.14440904546150168]",0.09498769266879316,0.051939569218755574,"[0.13562082215722046, 0.055949547722928296, 0.12144786959982459, 0.15057853997792234, 0.04153847596180495, 0.0644400025165862, -0.016189612055770568, 0.1999406009715421, 0.0794793389757525, 0.08058325812091416, 0.11513914210946267, 0.12327178197292318, 0.119930208270482, 0.058097721061511155]",0.2526703654972876,0.07867980006855661,"[0.2448911472995548, 0.23980011549296815, 0.2732673756825838, 0.30639052953445367, 0.0810266129343216, 0.1793955305451511, 0.30729725462208896, 0.395293241019104, 0.3906410005735081, 0.20640482300138002, 0.21958409544747415, 0.2606984617316412, 0.21585480726753367, 0.21684012181026416]"
21.17,33.57142857142857,34.23384354635108,"[4, 17, 15, 15, 4, 9, 33, 19, 22, 37, 124, 23, 73, 75]",156.84495982666644,103.63249819843855,"[52.67013813991543, 98.24617109626061, 82.34627728029687, 84.5191168412605, 30.654613306869635, 79.56474571612739, 375.3705677492286, 90.17912714706631, 358.76879222928443, 230.12129268391035, 216.19932321155602, 137.0649228052545, 174.60783372532202, 185.51651564097767]",80238.86503263746,97856.78585749226,"[2466.1259946172718, 21263.788329765906, 12322.215678442952, 18760.996851254262, 603.8500400688418, 11845.157691384928, 376891.39496646007, 23478.971130839403, 159442.01348469575, 139221.50172191064, 126672.7092068635, 43313.12983146833, 81793.68669689243, 105268.56883226006]",0.15244082503068723,0.037260598259429394,"[0.14912268616223617, 0.15261093659036062, 0.10023407148129579, 0.2472854905022202, 0.07128470783648111, 0.15949700784918514, 0.153945533608477, 0.17268449458479446, 0.15051950959149243, 0.1425875803790799, 0.16202417244345518, 0.1529766234607823, 0.17308559425178247, 0.14631314168797865]",0.10553778892079538,0.03280245930782932,"[0.08062029984914557, 0.09554000615081873, 0.08908291770344283, 0.15773340060391733, 0.15181604801878967, 0.054840844591505095, 0.14267349438953894, 0.1317660130094597, 0.05649555483134585, 0.09551497571347076, 0.12604278753379466, 0.10427500361494399, 0.1224208159004997, 0.06870688298046275]",0.22918630040939367,0.03953830166690896,"[0.17008950136475004, 0.16668135981495683, 0.2329237338212319, 0.2842155017811942, 0.21712301313027438, 0.16117723063094863, 0.23307966182902584, 0.2805634223343326, 0.26855685934911505, 0.22372772420381504, 0.23042234889812246, 0.2666644904348205, 0.2581420542947953, 0.21524130384412857]"
21.33,35.142857142857146,36.29972905780882,"[4, 17, 16, 15, 4, 9, 35, 20, 22, 39, 131, 24, 77, 79]",167.66501541755412,137.4755827350567,"[53.01479260581774, 99.7502800264436, 84.2257073215327, 84.90259159120939, 30.73415511808639, 82.48241143393015, 376.54797705080273, 92.40906565093661, 560.8850896628769, 168.10709295424368, 211.2549970999558, 140.29802598854434, 175.13494180149848, 187.5630875398794]",98735.61064659295,137033.62173936504,"[2460.4388506144533, 21879.199475449524, 15415.592889074225, 18566.44909846427, 651.5735515433818, 12649.62683721653, 378377.96785223484, 24767.489392293282, 458171.00266108796, 78158.31272521152, 130861.76013435856, 47513.040087101435, 82929.90138609195, 109896.19411155934]",0.15331370365184369,0.032070057992753975,"[0.14260766211584544, 0.15135158370050097, 0.12355284275299902, 0.2368782255106383, 0.08170980252092454, 0.15928101436963998, 0.15723403649376833, 0.1706475677650572, 0.14600091931756157, 0.13936076440833137, 0.1576963096019029, 0.1470082802105514, 0.17829005481486757, 0.15477278754322282]",0.09782564421914561,0.04871631240669018,"[0.0764241222354915, 0.1269424218716964, 0.13192349556129407, 0.11446969219600618, 0.03916424146029608, 0.13203076906032968, 0.013454453627144921, 0.1560013326282582, 0.013828160191957418, 0.05500689462371412, 0.1253769883007307, 0.1682265202440491, 0.12479018030931582, 0.09191974675775418]",0.2572844911247677,0.05269876441538223,"[0.1329523489705687, 0.20896570265095038, 0.28147354402482005, 0.2639202978323018, 0.2121735780259048, 0.2625197320316413, 0.34627374710158215, 0.3099815578363896, 0.32132474699998353, 0.20269568405632513, 0.24930949257503962, 0.27605231014418274, 0.26904914487086823, 0.2652909886261898]"
21.5,36.92857142857143,37.80407850547811,"[4, 18, 16, 17, 5, 9, 35, 22, 24, 40, 137, 27, 79, 84]",173.44147920291144,123.69987209091224,"[53.154599612213325, 94.96050696440524, 85.74211979800407, 94.61005514986219, 49.40983655233805, 82.90815724845135, 375.8584304898209, 98.0559625037344, 474.92146000671363, 295.43241549301183, 218.29442702512088, 139.05763911405344, 170.45249383280108, 195.32260505022998]",125241.44046973539,186861.24600741427,"[2466.411944198833, 23077.72057675053, 15765.462879187926, 24688.655412768025, 4371.3968979031715, 12853.508043866343, 383887.0861875165, 26468.643117172043, 697708.8232840721, 174682.91119705234, 135525.2816534657, 52137.719748729694, 85072.00415875511, 114674.54147485715]",0.15194407404837565,0.0285738699644627,"[0.13436528944192205, 0.143395220638512, 0.14867900709655799, 0.22300389521222413, 0.08721496356790141, 0.16104744384108732, 0.13816479837837264, 0.17649878206479447, 0.15276019893577955, 0.1357332083891345, 0.15488774070722086, 0.14237601479335765, 0.17553359988614686, 0.1535568737242473]",0.10519168264738657,0.05018731193208051,"[0.06169450885047248, 0.05265084563926241, 0.07299390662603854, 0.19050731098727972, 0.04680315904370472, 0.030892035131801943, 0.19317635675994418, 0.08689540799893333, 0.11198747593121573, 0.163436888165743, 0.10728183577504674, 0.10819308703355494, 0.1475453894540809, 0.0986253496663332]",0.23841411056701123,0.04846149285299476,"[0.15947682791035778, 0.16296666253086306, 0.3160944549213871, 0.27169190185062886, 0.2003078683873718, 0.20543381764893304, 0.27925231043911003, 0.29032170966489707, 0.2924589531105587, 0.2262466374174088, 0.21436403441672217, 0.19799967004777883, 0.24259217657650475, 0.2785905230156354]"
