t,inf-count-mean,inf-count-std,inf-count-list,radius-mean(um),radius-std(um),radius-list(um),area-mean(um2),area-std(um2),area-list(um2),max-radial-velocity-mean(um/min),max-radial-velocity-std(um/min),max-radial-velocity-list(um/min),radial-velocity-mean(um/min),radial-velocity-std(um/min),radial-velocity-list(um/min),speed-mean(um/min),speed-std(um/min),speed-list(um/min)
20.0,17.05,14.27723620608031,"[5, 14, 7, 15, 4, 6, 3, 11, 9, 5, 14, 44, 28, 31, 18, 59, 19, 16, 22, 11]",72.63869599667444,38.078006094633835,"[28.381777120050312, 69.18987626463537, 41.475194959907434, 76.51651223633104, 35.159074447065585, 52.0015507122222, 32.893402858725736, 46.60975191935269, 57.17794447212217, 40.87147409294296, 78.25348242841066, 110.21699484552002, 91.86376325813575, 199.52057795031072, 86.24154543622198, 117.88617145372972, 84.87221266384441, 80.85332844829225, 68.15050983490454, 54.638774530763484]",16971.460072065725,21461.399502711647,"[1539.0362179512117, 12580.974197212563, 3788.5971974131708, 13157.797902297729, 975.7088848238732, 4734.512903746819, 1032.3605685111936, 5395.18979996891, 6418.671473497427, 3709.6551759798344, 16296.367717144287, 33853.1453057165, 21799.09813291315, 98497.28299851019, 17400.8367001194, 42301.29221042425, 17519.49481529283, 16812.33074869338, 13244.337589835925, 8372.510901261865]",0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
20.17,18.25,15.956767249434693,"[5, 14, 7, 15, 5, 7, 3, 11, 10, 6, 14, 47, 30, 32, 19, 68, 21, 16, 22, 13]",74.07288358316057,36.872136896683145,"[28.67721809166969, 69.04319425908308, 41.59758751656266, 73.9201066845594, 37.93188937155878, 50.61267585449524, 32.799823970380665, 46.805564955870956, 57.285373852700396, 47.60820311513875, 79.88080481173724, 115.68276712765962, 95.80817293081894, 188.67207300823387, 86.77251698277371, 128.66669989681728, 82.6397827174371, 81.57350791155703, 72.34908200939222, 63.130626594764585]",18024.207602887185,21863.498540364522,"[1579.1288395939246, 12454.621122596422, 3873.2772995898345, 13313.102933750099, 2191.839702653655, 5915.18203515231, 1022.2870633401799, 5460.530199215142, 6561.724707286054, 4982.432586563754, 16774.48231593966, 36748.02117228642, 23117.055793847052, 98621.99735683991, 19975.117036090887, 48663.44026547159, 17774.16835396915, 17208.057809179107, 13476.131104605387, 10771.5543597731]",0.11960303951025664,0.07434167264074,"[0.12456204690581625, 0.03163559383543677, 0.11717829303147376, 0.10199690248473188, 0.054847606971335595, 0.39187798062310825, 0.1032989794220505, 0.1019957074061006, 0.08279350940803624, 0.17143420919198693, 0.22731169229262949, 0.08203379449782673, 0.09915075317816975, 0.07328266872846576, 0.08952318941363543, 0.07552072523965599, 0.12950765070059217, 0.13308106712512138, 0.09427893462441832, 0.10674948512454127]",0.03635788237428376,0.04253856985150638,"[0.048212167417085686, -0.017061861591468157, 0.06886861449023683, 0.006013129351979433, -0.025242564025847344, 0.1619646621858753, -0.021971312025544167, 0.004234664659254167, 0.011541133529405362, 0.010161362373842669, 0.0967699919795341, 0.03253926726116301, 0.03973988472444389, 0.04955008724822149, 0.05564277326019228, 0.03351154953269907, 0.022033094206187476, 0.036471975041993, 0.039537427451751844, 0.07464160041466915]",0.15868325730513713,0.052149381716145256,"[0.14061572921849802, 0.11437088859717345, 0.1741210499634008, 0.16486493938864893, 0.11832661250877848, 0.32792961971129375, 0.13190611522587944, 0.12597445869149215, 0.16149823958023352, 0.213429751353463, 0.2319327937496877, 0.11157758494217594, 0.1417352236037544, 0.11993866708297475, 0.1258284244136185, 0.10448138613770996, 0.16852191395224553, 0.20945656114868677, 0.132658897895833, 0.15449628893719428]"
20.33,18.95,16.401139241560404,"[5, 14, 8, 16, 6, 7, 3, 11, 10, 7, 16, 49, 32, 32, 19, 70, 21, 16, 23, 14]",75.46279053633063,37.332271925322864,"[29.598149730425376, 69.25721189569907, 42.01292926396378, 75.35245343692795, 37.548671295866455, 51.0055682723483, 33.7365220477891, 46.82769692551751, 56.89462153371786, 49.11050806006917, 83.25424582436501, 120.75388401091449, 104.89669304856974, 189.1186725156829, 86.86806708699237, 127.09276981665134, 84.05108643865405, 83.59147877971196, 74.87001945853407, 63.414561284212546]",18551.702648876893,22133.085030623835,"[1664.5174059848362, 12604.143502779702, 3954.561671670622, 14192.350968482362, 2164.3892905941807, 5992.158534729713, 1088.8045632531978, 5405.383016528316, 6444.884892872971, 5364.065639751839, 17570.540606752216, 38946.68599541736, 26697.177507040524, 99222.23432998858, 19969.76719921864, 49373.95971476758, 17162.929966853942, 17729.405798462627, 14637.09387428776, 10848.998498100913]",0.10557436407600063,0.05932950180716729,"[0.07858782601089362, 0.051192691161827376, 0.09573792475233954, 0.09213936013855331, 0.07134358350815359, 0.3134181243484328, 0.0821098056859352, 0.08777326285402806, 0.07631151064196204, 0.19665203072508503, 0.18457970670195262, 0.075305749861046, 0.09362638048940436, 0.07091443673222773, 0.07601165825489298, 0.07383066686044051, 0.12639346180964134, 0.10309774449916323, 0.07683220866735649, 0.08562914781667665]",0.018844672315193163,0.039162812046326066,"[0.08941162043639846, -0.022120503114432567, 0.043658558367546826, 0.003569149516429326, -0.0752348916403855, 0.05928419805660267, 0.061524152026179786, 0.010906297768915508, -0.037163713901782, 0.03479778498337431, 0.039222398555029056, 0.01748029238164154, 0.02534525123644585, 0.05416547095519446, 0.023027726317980435, 0.02594344100145854, -0.04748012551917746, 0.04764647161149947, 0.02355309781463028, -0.0006432305496857942]",0.1653752407797237,0.050807318048906855,"[0.1385525743240829, 0.18291373504820088, 0.1477609307195791, 0.11161454863922579, 0.20049969871905177, 0.1445597584359355, 0.2286570647897246, 0.15189606143131343, 0.1297209694374914, 0.33491052219726525, 0.19336235395974272, 0.14958993393425427, 0.14806338313425693, 0.11400866203927908, 0.13693321758945787, 0.16509431430288113, 0.17391551832709692, 0.18125664758054374, 0.08795845297376752, 0.18623646801132313]"
20.5,19.7,16.092168739385066,"[5, 15, 11, 17, 7, 9, 3, 12, 10, 7, 17, 49, 34, 32, 19, 69, 21, 16, 26, 15]",77.55171133853779,36.45636406149768,"[29.95729575366586, 69.75550064511432, 60.34033246139967, 77.93693313840693, 36.45884868586675, 58.06142676387139, 33.47362128791192, 48.48705547670004, 58.77942336164835, 50.41738692871044, 82.78369791270023, 121.38451050755845, 105.70219482035284, 189.3325023826702, 86.73677543556664, 127.90826899288034, 83.42115305657494, 85.0767438968619, 75.33900526112737, 69.6815500011672]",19191.81857698851,22155.968895900907,"[1709.876622064276, 12946.9084948575, 6595.464957588684, 14968.010398163202, 2231.9930510936883, 8227.460063638811, 1036.2414722383885, 5743.742830502721, 6577.72707425306, 5612.138469416928, 19687.04205868585, 39404.081012847375, 27276.586628028916, 100017.30927822078, 19808.552953996415, 50022.45647456568, 16746.789734508464, 18359.755720518693, 14833.914076781211, 12030.320167799558]",0.0869123604075659,0.026859918618369484,"[0.06706710001929335, 0.05069518500599488, 0.07491892575698166, 0.0835227480967977, 0.06758723234969163, 0.12416639718789432, 0.07446994704438144, 0.0828660504170708, 0.055574381682191365, 0.15896737153923635, 0.1404482699792156, 0.06942362079739638, 0.09800072790085165, 0.06961360174211637, 0.07459170744817614, 0.07888599291049356, 0.09936267454026908, 0.10435293711641339, 0.07346173393744135, 0.09027060267941114]",0.022634817152786795,0.04554706546537232,"[0.03414586946600068, -0.057617621909559984, 0.021814940468486862, -0.0012694418161438795, -0.10430996607013536, 0.10872344097155999, -0.017196599053309804, 0.07601326631843451, -0.011220566405202565, 0.06423817178516002, 0.0361532421274893, 0.026816404037845076, 0.03178881130180857, 0.052495860024080805, 0.026923300726253777, 0.039592506125676497, 0.0045317061196795, 0.04840707199154131, 0.018198371789766916, 0.05446757505630368]",0.15437765488891747,0.0321432430240751,"[0.14055893542776135, 0.19597047046995988, 0.2092208459555723, 0.14413388643335573, 0.20604019833547557, 0.16256249396459568, 0.11095705382710035, 0.1563547351022362, 0.16350179713543617, 0.18834823893307973, 0.18890215650166728, 0.12600346862494627, 0.12406704527314086, 0.10360743726726866, 0.14972922021615892, 0.1556952283295396, 0.14495286009240202, 0.14069465540471063, 0.09661345027463832, 0.1796389202093038]"
20.67,20.5,16.674910242005723,"[5, 15, 10, 19, 9, 9, 3, 11, 11, 8, 17, 49, 36, 34, 20, 72, 21, 18, 28, 15]",79.28680001220656,35.738949124975925,"[30.287028473658125, 69.902091295793, 63.69432741730255, 76.52876189272804, 49.7928958591538, 58.245806646584846, 33.44459547710561, 47.683171579812296, 63.00940889849462, 54.32727330183476, 82.56465553836917, 121.92868623789036, 103.66876793687895, 188.25131798727642, 94.80222280972717, 132.07008992663484, 85.25024198673229, 85.23334562800689, 75.5956325937739, 69.45567875637342]",19959.585112499677,22296.592992526217,"[1742.2897699829427, 13090.464778811687, 6775.372282378712, 16156.77664816197, 4422.40684059694, 8283.082415881876, 990.3509585332055, 5681.659504473834, 6903.216898742357, 7763.73519246607, 19705.378383445357, 39782.472079219995, 27765.039293090136, 100848.13304657911, 22215.014065448042, 52022.29848455213, 17442.030341260142, 19488.37368848817, 16122.532152214662, 11991.075425666217]",0.0874934193547287,0.03362006902156868,"[0.060026258092663966, 0.04788553466069252, 0.07804347319258817, 0.07327922212950784, 0.07365785386471906, 0.10663380562368432, 0.0936694074160549, 0.08490964745235222, 0.05396653012007012, 0.20188841415699849, 0.1456592634292436, 0.06639425187847012, 0.09583301528637314, 0.0745036358587522, 0.06770274678355145, 0.07336789577995809, 0.096289994852005, 0.0995577009311934, 0.070273374591482, 0.0863263609942131]",0.024280051156120145,0.0361977789950489,"[0.046399233397998604, 0.028667126608699522, -0.041019826109927104, -0.009252777504455193, 0.020576474241365657, 0.023065830670384892, 0.0043876345787958555, 0.07721523591560314, 0.010151915586459311, 0.12524610760425453, 0.004457627943348021, 0.028049465247645514, 0.05427135690839898, 0.03999528039207953, 0.016249202318305074, 0.0049029158486498066, 0.05682712135092999, -0.03450399062165814, 0.01808227975654492, 0.01183280898898006]",0.15736280465738334,0.044475982584750724,"[0.10614053772525914, 0.14704918915029094, 0.19532229340417526, 0.13367232054759204, 0.17513174230878376, 0.12464522290383069, 0.1457939771598408, 0.23976681712289113, 0.16392538647416433, 0.25974907066424985, 0.11835907762211798, 0.11030831837368772, 0.12815871542070753, 0.14214670666294096, 0.11349593962426936, 0.1356901867999175, 0.15941744161028554, 0.25010246865970726, 0.14464694435756253, 0.1537337365553922]"
20.83,21.5,17.682879022555003,"[5, 15, 10, 20, 10, 9, 3, 11, 11, 9, 19, 51, 37, 36, 20, 77, 21, 18, 29, 19]",84.21981813430062,40.44686900763846,"[31.113579129486833, 69.80783665312372, 63.540974077673695, 86.17627496589762, 58.85895900021227, 58.53339139087074, 34.325006624154035, 48.89555454473563, 63.077320188496685, 63.759193368637746, 93.09046364605446, 125.0030847822348, 103.95167994538606, 218.49852862697094, 95.03624886761233, 139.37134092059728, 84.22777303076514, 85.52754686672546, 78.82553442074123, 82.77607163563592]",21966.392209414174,25460.550083506234,"[1827.79830441645, 13115.537119733657, 6734.519316911097, 20222.242360445725, 5495.034907885474, 8324.444016825713, 1118.817366549553, 5867.9593457070805, 7222.195759526433, 9424.723020087096, 22314.551743397795, 41803.36091245481, 28082.008616379433, 117280.94692043967, 22177.257159682493, 55751.35133115921, 16987.337923724026, 19629.464910450188, 17485.42799272698, 18462.865159780602]",0.08620990401168255,0.03146857999118597,"[0.07049667996641758, 0.04708500087440617, 0.07129987210648261, 0.07683159039518135, 0.15313759035692204, 0.10295541179975327, 0.08718560801705519, 0.08648415832369753, 0.049552984142835516, 0.1738265514070533, 0.13175684500230125, 0.06321544291975806, 0.0828861731071505, 0.07044291019150678, 0.06418522332157503, 0.06771199975146003, 0.08468660151580978, 0.08855614775729405, 0.07221964963373013, 0.07968163964326111]",0.0286607504596113,0.04822733724566309,"[0.12190476232924656, -0.013765059251871468, -0.020096950885328622, 0.009348881822935598, 0.08843689865260776, 0.10281355739500352, 0.06333957409687188, 0.11705931755134458, 0.01764056069911775, 0.02562340530762474, -0.0641118162372738, 0.011922702107749462, 0.03427138580573737, 0.0003571918978397782, 0.030085241430333837, 0.0033344224793807275, -0.030725911731702502, 0.021579228065619453, 0.0035541371007948934, 0.05064348055619466]",0.17345995480510326,0.05711643187618521,"[0.28708945863538415, 0.14214002915920607, 0.19766059493918547, 0.14273315393424235, 0.1671547361376574, 0.18196414770158942, 0.20256846016838007, 0.2613761336054336, 0.2267246153938718, 0.16327287535200985, 0.14937409582901157, 0.10066470683210897, 0.13668562930089154, 0.13726960194909024, 0.16029285739347277, 0.12736084141458054, 0.1299283014089959, 0.31315626266320085, 0.10645300735340646, 0.13532958693034552]"
21.0,22.4,18.21335542368494,"[5, 16, 11, 21, 10, 9, 3, 12, 10, 10, 20, 53, 39, 40, 21, 78, 21, 18, 30, 21]",85.69497817535678,40.54374750484576,"[29.449430288014533, 78.03434977457265, 71.85174682798478, 87.20321738326984, 51.10515178142341, 58.45071362967578, 34.43482745376135, 51.423651179176446, 60.61868349084267, 70.01061964309018, 96.61641479108584, 123.48557471987738, 110.92551694773489, 218.24294313894205, 95.51961420716262, 139.78355108929426, 84.02553912824293, 89.78990053777544, 78.84720270427084, 84.08091479093778]",22569.41455893269,25446.69520446734,"[1924.7105065314897, 15457.0379118322, 8674.104880605113, 20594.95054822943, 4501.522047042743, 7973.981627223224, 1047.6875910846807, 6667.197275650058, 7354.086937153321, 10841.51033182458, 23960.95178333021, 42660.78225187747, 30361.75225100404, 117429.06347753915, 22377.03728665782, 55923.88965412944, 16881.07733673871, 19972.12891735016, 17651.220603298363, 19133.59795955165]",0.07953600265829121,0.026204472399922997,"[0.08698967900030143, 0.0382385411209163, 0.058389252832049786, 0.09032779251564306, 0.09365174098100185, 0.09926605911844928, 0.05783357622134346, 0.09177359314704475, 0.04778624183811056, 0.16671238705012364, 0.1076856654430415, 0.06551732011606748, 0.08227843942089226, 0.07085216991632523, 0.06397262084196892, 0.06807115293451577, 0.07472652147711209, 0.07101470246530038, 0.07309545576928085, 0.08253714095633571]",0.023564014109040073,0.03556181512851201,"[0.1256308473810369, 0.04381461259598709, 0.003007101451933461, 0.06081187862648134, 0.019454813222177705, 0.0010788801870141658, 0.009649743741891592, 0.0074410468330892935, -0.01904971598655674, 0.09966798670936407, -0.003941055372809295, 0.026510027606258525, 0.02439708927768306, 0.030432549629525588, 0.01080915227761564, -0.016317289496837847, -0.008851823293839071, 0.0031302404617711862, 0.023992229878384817, 0.029611966450630033]",0.1667437722669202,0.04747139970899982,"[0.2116430318589974, 0.1005094660408565, 0.1410649720524673, 0.19662303305080148, 0.23950470317254408, 0.19034903248381585, 0.1933352594688583, 0.26695621259724783, 0.17039042213307723, 0.20492291121029735, 0.1459645346714531, 0.11293735655008796, 0.15340124563574423, 0.1195904332358253, 0.1083077569106892, 0.13881790153608298, 0.11161762882294181, 0.2384486598345312, 0.14243449315256546, 0.14805639091951858]"
21.17,23.35,19.64761938170681,"[5, 15, 11, 22, 11, 9, 4, 11, 11, 11, 21, 55, 39, 42, 21, 86, 22, 19, 29, 23]",87.14097620109848,40.974671075561,"[29.92562641923044, 77.07861223796804, 70.84020783219171, 92.6839631321174, 58.734591890542184, 58.0282814553658, 35.27240238944885, 50.482845193047524, 63.405029736060044, 70.66887047727103, 101.51910348452834, 125.17044535844828, 111.93704945213949, 220.47648328323712, 95.27609058916629, 143.32151634812104, 84.53226613466315, 91.79234874294204, 78.92755498338866, 82.74623488209234]",23395.18759390785,26839.44861125213,"[1981.7503325791668, 14595.836056152595, 8776.819582422417, 21446.992105120848, 6050.913253559571, 7893.780057028221, 1132.8746991631565, 6118.275383477892, 7537.7582380056865, 11758.384155372607, 25796.578449782497, 42022.6840686228, 30933.356039911047, 123807.2132844922, 22352.219777633276, 60084.05667978596, 17088.03715345037, 21422.96725927513, 17637.58380642944, 19465.67149589209]",0.07965063831003096,0.0280877414545525,"[0.09210713233520522, 0.04210033508857371, 0.04471092983556586, 0.08613837540873293, 0.09891918406588521, 0.12033198288181579, 0.07092716570384275, 0.09934997660789019, 0.04294765435548371, 0.1566761617971998, 0.11760150620614444, 0.0645369754214288, 0.07801640211426121, 0.07027217762268032, 0.05374571243462101, 0.06500172031336864, 0.07181535620946009, 0.07343158853380759, 0.05947151683401034, 0.08491091243064158]",0.030230328577722225,0.042751422592398614,"[0.05349659848640059, -0.029511260108961997, -0.04460194399870468, 0.009621443008118562, -0.011339960047797571, 0.10500591075479815, 0.06654634174016767, 0.09786560571019676, 0.01601702784230558, 0.11903315167915138, 0.03565198188117626, 0.029915672561810665, 0.056723284275646296, 0.026827321865100832, -0.024611843534733224, 0.016883705726286665, 0.039271170815179474, 0.025108533723256683, 0.016221001414263175, 0.00048282776078325304]",0.16925793999849648,0.039036199464068055,"[0.1948060205948575, 0.16497270336641032, 0.20848961070995609, 0.14255559067639645, 0.19088893480102725, 0.24870128417538703, 0.24496872153327823, 0.19800867572849515, 0.16381975382161362, 0.21823247374804594, 0.14207440804294352, 0.11842784917670136, 0.15377595409671677, 0.11842172204301209, 0.1334252495120256, 0.14376084717896934, 0.13621476711930122, 0.1692845589017827, 0.11854196169132025, 0.17578771305168864]"
21.33,24.05,20.05643353928583,"[5, 16, 11, 22, 12, 11, 4, 12, 11, 9, 21, 57, 41, 43, 23, 87, 23, 19, 31, 23]",88.30214525562282,41.75733172177982,"[29.78587700810923, 77.30473876839638, 70.63277749823524, 93.44722672730414, 54.67433720806661, 58.06940848535963, 36.53345506051604, 52.22949043498315, 64.09980923598832, 61.63382940158473, 101.99953683431944, 127.1131493761399, 123.63232740329325, 220.61290716720006, 96.30126288661714, 143.48552134052878, 83.87251729206271, 92.95693952960139, 94.63319439356101, 83.02459906058911]",24130.53629929897,26950.941849437673,"[1975.1167507963103, 15624.034003202321, 8828.676406055063, 21844.58979300389, 6622.486130316111, 8662.989881408983, 1219.1808410038477, 6806.4937268587955, 7691.670605148995, 8868.954424310286, 25999.463628250527, 43459.56563231508, 37176.93588147384, 123342.82464900191, 23793.799841012482, 61248.1350945523, 17753.867957089977, 22055.882739396875, 20048.22991379283, 19587.828086988982]",0.07771997868946728,0.024627611083204444,"[0.09229936292884784, 0.04225424897491829, 0.0453119054198638, 0.09149991738930544, 0.10300086081326121, 0.11588133308779862, 0.07567247950033998, 0.09594550641653378, 0.0377887461932031, 0.12376416953520146, 0.11585950945444756, 0.06629688824729166, 0.0726806252980371, 0.0653128277319329, 0.05395220765786335, 0.06670031692661511, 0.07115456607946216, 0.0760969070727201, 0.052772871253339196, 0.0901543238083631]",0.01695045004812338,0.0310059351591742,"[-0.012607224999559815, -0.028820865680464977, 0.017586438531779273, 0.0225183770360866, -0.028569731648676735, 0.05304139216436123, 0.07720115015275479, -0.029048169993955545, 0.0557107018128923, -0.011926384545393088, -0.023443530685939053, 0.011920841666306404, 0.04374685630751218, 0.02688311807031386, 0.015518498527519863, 0.03475491309790376, 0.031629678205294824, 0.05806443210568458, 0.016352067643266306, 0.0084964431947809]",0.1566391863578221,0.0349205594033277,"[0.1445885147717612, 0.13798900453692423, 0.15738478622868438, 0.1432815139750004, 0.19525150144162387, 0.15451186254365265, 0.23003327553324765, 0.14425184074067685, 0.14728031191178925, 0.2621847609645214, 0.13963109472358773, 0.11794459892645562, 0.14052313012058212, 0.13745556112496624, 0.14149787955699727, 0.1277723121616594, 0.14348098237516627, 0.18876062644722047, 0.12990901417639644, 0.14905115489552825]"
21.5,25.2,20.730348970074107,"[5, 16, 12, 24, 13, 11, 4, 14, 11, 11, 21, 58, 45, 45, 26, 90, 23, 19, 32, 24]",90.11156350640424,44.84743969144056,"[29.509807824260754, 76.37764001207398, 70.80984323289711, 87.54257243337307, 57.90786008336989, 57.749142196408165, 37.55138767714711, 59.32309119604561, 65.26146690217952, 65.25272339711954, 102.3448126519321, 126.82965245814898, 123.0619762952665, 242.86807013064916, 96.91686719900473, 143.96420944817717, 85.04180050309576, 93.55415178766684, 95.32880726607495, 85.03538743319392]",24978.334820837666,28046.268988088723,"[1942.1755347636752, 16215.393626796782, 8976.11163862128, 22412.712080244743, 8172.96001098937, 8432.380940819634, 1341.8950312395111, 8492.557949313154, 7905.498554019243, 10384.64695717349, 26004.244967534414, 43768.655871268515, 38495.79068320426, 129737.4814202835, 24060.166411704296, 61880.00962775382, 17924.63623839496, 22502.231729009414, 20456.88162093221, 20460.265522687172]",0.07754507432010421,0.019169495084041477,"[0.08660663759324798, 0.07143042775204454, 0.055069051818890734, 0.06983545956169628, 0.09283194614089926, 0.11990009466023452, 0.07847385076633502, 0.0841744458192204, 0.0493659559201056, 0.112958686156668, 0.10704162087416862, 0.05799430082917291, 0.07314581499785319, 0.06178249540102917, 0.06815648538627869, 0.06571884343254229, 0.07408575457573574, 0.07802508965241109, 0.05309724501725467, 0.091207280046296]",0.024266792482881265,0.0367841015061502,"[-0.008105788921882318, 0.04249206258772756, 0.021844451652547645, 0.03354022385302989, 0.004417225496333172, 0.03826086427787118, 0.0630159037992346, -0.021383985452248275, 0.13463343680507672, -0.045127975056074875, 0.005330270451190762, 0.012496504084356382, 0.053766712678677574, 0.008444187698262105, 0.06471485606482727, 0.00020321614521666808, 0.010302870804484412, 0.035100686510937555, 0.023616255547593997, 0.007773870630463265]",0.16018815389013707,0.036063084940407976,"[0.2427211737046119, 0.1809050569419966, 0.18146350164459524, 0.16510480359986796, 0.13056740117950563, 0.24139760338433341, 0.20272815438986394, 0.1641941033921559, 0.17659008371074805, 0.1500650860872123, 0.16613531254922037, 0.1278762199523, 0.14783090701078594, 0.11487839875607574, 0.15219228973542834, 0.11452826300797078, 0.12359076881041439, 0.14956425622989453, 0.15214149949011527, 0.11928819422564461]"
