t,inf-count-mean,inf-count-std,inf-count-list,radius-mean(um),radius-std(um),radius-list(um),area-mean(um2),area-std(um2),area-list(um2),radial-velocity-mean(um/min),radial-velocity-std(um/min),radial-velocity-list(um/min)
20.0,10.0,6.22781777878209,"[32, 12, 5, 7, 12, 7, 9, 15, 12, 18, 5, 7, 18, 8, 7, 8, 12, 19, 8, 11, 4, 3, 5, 3, 10, 6, 6, 5, 16]",82.30241685452336,52.738242849952755,"[148.80629550840362, 104.16786198280268, 52.39720756054782, 63.98840051174763, 72.75231201892159, 51.42552808346331, 62.97731107959558, 72.7171902513474, 83.8528646461587, 94.98874874702628, 38.71406401098292, 62.18071023293604, 89.05232050672055, 77.88167831350368, 62.71080489030415, 69.38145023599705, 153.25602453638243, 275.54889975451925, 59.58535134554379, 62.900901550389975, 65.36484464123727, 14.347104022265507, 43.43002927983835, 21.411669848610448, 63.4461671921364, 68.17752191947096, 56.30891497399105, 89.15853347997187, 205.83937765636065]",16811.153376881914,21705.25256909225,"[57569.87886839225, 21408.697747095244, 4483.370899772514, 9075.577253207624, 13099.175758098352, 5626.813281100982, 9166.68141918289, 15430.85967781411, 16206.904261621161, 26141.834332703438, 2486.6472943762465, 7360.77976761426, 22286.34723821229, 13399.18090366659, 6249.94311859758, 7965.178396269442, 47813.153453918174, 108214.4965826788, 6780.441344116836, 9063.402423414678, 6640.603752964523, 249.77179488893674, 2234.152246267601, 493.5207891370592, 7418.433650032834, 10305.993666286387, 5487.565617168675, 10166.530051827478, 34697.512339148416]",0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
20.17,10.413793103448276,6.549357882262255,"[33, 14, 5, 8, 12, 9, 9, 16, 12, 19, 5, 7, 19, 8, 7, 8, 12, 21, 8, 11, 4, 3, 6, 3, 10, 6, 6, 5, 16]",82.18866640372912,49.56265739140761,"[148.2286832098642, 98.40670385458992, 52.63922197725153, 66.69408093921004, 81.6248958797673, 50.24780040348866, 67.2167122831875, 75.23435135884993, 85.2213328689837, 96.0192701306238, 39.83551401801286, 61.817870842211846, 89.800843673534, 79.28785389121461, 62.50554063035763, 69.89096234389072, 141.46056720888188, 275.6416703545728, 59.58762886304983, 63.42486438934932, 67.45851167813365, 15.132735176290794, 61.38345190396947, 21.717991092337726, 58.42855154312849, 69.98723911284912, 56.14408849742729, 90.72042628861414, 177.71196129450118]",17332.0616333765,21808.142957217897,"[58269.0086662097, 23093.70221797359, 4473.800034233278, 10207.311781264789, 14005.430886845746, 6318.029901387045, 9487.889993324618, 16625.545272002964, 16756.58596788264, 26867.557075076053, 2766.7021932286084, 7334.61401999555, 23446.064891213726, 13602.586908339128, 6251.237770834723, 8038.740223548572, 48854.066964089536, 108576.85304665664, 6784.307307333638, 9172.425560315498, 7101.613078673759, 285.76842806391835, 3467.1738914911493, 524.230397275131, 7961.518712602904, 10970.548464991478, 5477.704573546068, 10507.56888146082, 35401.20025805725]",0.09893312050123414,0.051603122668133716,"[0.10984999275048804, 0.11120128704101964, 0.10032488816258103, 0.09869237000050671, 0.1611574738785141, 0.059700253032666295, 0.2233396914958929, 0.14101501558552482, 0.10166045273335891, 0.08833849111335268, 0.12187152452572114, 0.06271887995858483, 0.06804064398797192, 0.13346226092772578, 0.04669543145246006, 0.05714470561165326, 0.08057341273777409, 0.0537259640266074, 0.1038701327863353, 0.053402799878086174, 0.21837203666221186, 0.1015037026737992, 0.008820802917040993, 0.0565893750663907, 0.14602171658550983, 0.17446249053477392, 0.005309465064969861, 0.10117940578765228, 0.08001582755661607]"
20.33,10.89655172413793,6.805170448092112,"[34, 14, 5, 9, 15, 10, 8, 17, 13, 20, 5, 7, 19, 8, 7, 10, 14, 22, 8, 12, 4, 3, 6, 4, 10, 6, 6, 5, 15]",85.18403552229223,49.478827825677556,"[153.90125685057254, 98.00487939072275, 53.25151401909646, 73.28097653889351, 79.68026743637937, 49.355006474318095, 61.138844814225884, 82.98198603688103, 86.69893364648223, 109.45883000283219, 41.09129561680316, 62.10362694157359, 90.6045824825999, 80.63532643806094, 64.09895424058256, 73.46313513445773, 154.5798910496633, 276.0509091554373, 60.3234937265845, 62.52917991160158, 68.8795343634901, 15.784639662661457, 60.39881447314385, 48.599896630854964, 68.19970510024903, 70.74039685361048, 55.49154957081812, 91.52040807485088, 177.48919550902718]",18900.745342069105,23302.91311344911,"[61511.45018690472, 22871.738794945086, 4582.724246602536, 11317.683335631562, 17914.98829328887, 6054.913719662187, 8882.906404823243, 19855.72155773016, 17260.034199554262, 30470.655850944648, 2848.923815681327, 7486.812474180661, 23957.329412226183, 13932.23984336588, 6691.156107367915, 10303.707158948164, 70568.85831435965, 108249.6636036579, 7037.713200126075, 10808.793273630636, 7354.671551467001, 302.310676024866, 3389.944402866529, 2233.150290495722, 8384.269491849142, 11233.839914860122, 5361.612105340548, 10688.412297242994, 36565.39039622547]",0.10090993024088404,0.0473345856533716,"[0.11780673624040887, 0.11066606111290259, 0.07180587977530932, 0.08533353424307392, 0.16557565987571116, 0.06396093339856192, 0.16819944928958633, 0.16222783659607198, 0.13445266738472955, 0.11037720845164709, 0.14331655505746962, 0.05695590266334418, 0.0762009301692312, 0.13522661763249758, 0.06915731081183216, 0.06019843181110851, 0.11131568773892579, 0.06309792297518328, 0.07943103256320287, 0.056651757502933754, 0.18728999263738136, 0.1335540301707316, 0.018030855726937377, 0.03757308304135497, 0.14493041415590174, 0.17612759679134432, 0.0056867902190052885, 0.09461212953267918, 0.08662496941656952]"
20.5,11.137931034482758,6.890594717910964,"[34, 13, 5, 10, 15, 8, 8, 17, 13, 20, 5, 7, 20, 9, 7, 11, 14, 23, 8, 13, 5, 3, 6, 4, 10, 6, 6, 6, 17]",84.98586483320716,45.59646139953562,"[155.01073589358813, 102.71168045465038, 54.43401317983461, 72.43589673267128, 81.22844275129347, 52.59868598096906, 62.15554385338183, 81.91364619458727, 87.50969442269943, 110.58415008774972, 41.19068397702316, 62.52050386018811, 90.6251557069168, 84.23465988872972, 64.65289246717936, 69.0483034357597, 156.36458453776706, 246.19333866528768, 61.38598947286977, 73.02585086674962, 67.06572675172416, 15.08804462924702, 60.54252915500027, 49.03313328883505, 69.64677920647068, 71.99724440186478, 55.81766072084804, 88.62158705070591, 176.9529225284161]",19570.24307690169,23517.7961928282,"[62991.57224624034, 21765.463099160483, 4731.089133250129, 12365.442231517743, 18636.906435778932, 5812.493899798186, 9255.406231886771, 20531.94629073637, 17544.80969185723, 31137.056010924294, 2991.190787110703, 7500.8373442641305, 24761.949743309968, 17421.604522655158, 6728.4420051779725, 10469.059377497106, 72451.38988372989, 108806.992302643, 7314.08557482155, 12100.507022101472, 8272.906228104035, 278.7462683895121, 3445.073568558825, 2242.3224073615183, 8703.968802703119, 11650.86617845627, 5476.8216272667005, 14843.390185733844, 37304.710129113686]",0.10044231820373992,0.043438345009095644,"[0.11331350590189997, 0.13264399639805144, 0.08159180207424054, 0.07792820516684751, 0.16477796296350106, 0.08381429464500606, 0.16994566829631547, 0.14284322560704493, 0.14434097352113945, 0.09342166525947519, 0.11269802692866826, 0.059194394390215996, 0.0917248629481626, 0.14798826235936596, 0.06824572413192444, 0.05458502775507042, 0.11822622482262761, 0.0649255279314292, 0.10022791048323365, 0.07411829298752118, 0.1598020833380103, 0.10448547733799143, 0.022997455569801588, 0.04257696714650372, 0.1379409881401685, 0.18178698894076337, 0.010255856486003957, 0.07663090142293778, 0.07979495495453652]"
20.67,11.724137931034482,7.130901324137172,"[35, 14, 5, 11, 15, 10, 9, 18, 12, 21, 5, 7, 21, 9, 7, 12, 15, 24, 8, 13, 5, 4, 7, 5, 11, 6, 6, 6, 19]",90.09533071437141,54.12420064436233,"[158.53795972880098, 98.54802362794148, 55.67460766350305, 73.86208912130222, 83.77006888348468, 50.62907976575389, 63.91767030127895, 87.90937685693335, 88.7283620615826, 111.6554113262463, 41.08671334697042, 63.558527482119636, 99.97910060375676, 85.60774636933401, 65.84818904633832, 309.6192945454623, 157.54764350554245, 107.43219311525807, 61.964261635771116, 73.07932276595098, 67.54038402077126, 26.286086288784464, 55.62140659700139, 46.35415765299497, 76.45140820792719, 73.26612997415437, 55.625405531993664, 89.18433937314407, 183.47963131666774]",20315.889387707735,21124.787695581548,"[63810.64537635439, 23544.974636887957, 4889.5232516198, 12722.135409195049, 18811.65668956389, 6329.014452617911, 9918.491744555911, 22263.29231913369, 18021.212778506615, 33358.71411368218, 3098.860295445327, 7862.718239378119, 25743.299782734197, 17840.178704399164, 7033.637978417995, 87125.36686912469, 73647.81421785237, 30310.141443728986, 7597.109429364225, 12133.144695588002, 8278.941666477174, 589.7104676083361, 4220.879900914145, 4050.624894039308, 10811.366014531912, 12100.804639579463, 5441.742491179774, 15058.957023863059, 42545.83271718077]",0.09778756093289633,0.04387631801074002,"[0.11840288698019126, 0.11505406960675246, 0.08337591960769129, 0.06130787879205013, 0.17042042967694973, 0.07350919290079451, 0.18566783899871483, 0.1459871163003452, 0.15024033790129654, 0.0903173488432135, 0.12298437476198817, 0.05924425295347676, 0.08952349122168521, 0.1462534700426148, 0.07319302886562229, 0.05035899875596143, 0.11680857944481235, 0.07152858344191368, 0.10082732783426622, 0.07224227341040701, 0.16245362833756113, 0.0987676726169897, 0.022002645691874333, 0.04257696714650372, 0.1154346791706129, 0.1501933558316783, 0.010092610692877762, 0.05608551873091043, 0.08098478849423814]"
20.83,12.0,7.338742593737898,"[36, 14, 6, 12, 14, 10, 10, 18, 12, 23, 5, 7, 21, 9, 7, 12, 17, 24, 8, 14, 5, 4, 7, 5, 11, 6, 6, 6, 19]",91.93855250080851,53.77205694230196,"[161.6401615267925, 96.62937061530621, 76.60639324357712, 79.21914804281109, 86.84836333606596, 50.74696227798864, 71.95932665017628, 89.0968865728061, 90.09064762901056, 112.51815119448563, 41.24741034913643, 64.58231752371357, 100.66941065452002, 87.14984622744042, 66.23954779113612, 309.6455835202399, 158.92990895023377, 107.12049719185889, 62.626345408044834, 75.2594786170542, 67.68945724213889, 26.477481844229164, 55.7337831042878, 45.73267200206138, 77.53509965664917, 74.81307580490713, 55.05241353726293, 90.19908466979602, 184.15919733971674]",20883.019969441102,21447.190857513433,"[65511.582349911194, 23881.939444924723, 7403.519451528191, 14047.06413169679, 18698.05695124049, 6254.4665128456, 11313.132851462575, 22869.256237329922, 18469.960228253112, 33821.90521446893, 3294.427152292287, 8051.228841509223, 26216.550290571126, 18338.95213497767, 7140.060303191599, 88798.60279115403, 75091.37057189677, 30597.634820228504, 7942.835534583986, 13150.701609925327, 8278.97234975967, 590.5236909229639, 4315.080785525252, 3986.1431508073615, 11137.030002957288, 12642.818196741537, 5391.2135185787065, 15385.680897312694, 42986.86909719456]",0.09437267611495888,0.04107353069497946,"[0.11932665545590515, 0.11145499820558802, 0.08175621485281488, 0.06249322474172442, 0.16375102337383252, 0.07140133343616127, 0.16525766234320868, 0.14667267249334276, 0.15482451770118805, 0.08615403091597143, 0.12565722759448783, 0.07482647177037591, 0.08806338618439205, 0.15023701511754245, 0.07117360984063342, 0.05166810247629829, 0.121201292390923, 0.06602393465764782, 0.09296775792775708, 0.056200220346440156, 0.13734928878231076, 0.07620509831334928, 0.02556793103233019, 0.027183376339416525, 0.10719673350533503, 0.1157869800622949, 0.009879254138682758, 0.06725331715139696, 0.1092742761824552]"
21.0,12.551724137931034,7.908341919845289,"[38, 15, 6, 14, 16, 10, 9, 18, 12, 23, 5, 7, 23, 9, 8, 12, 20, 26, 8, 14, 5, 4, 7, 5, 11, 6, 7, 6, 20]",85.18065710100724,34.88470912741697,"[162.45099198679102, 95.7675592532327, 79.49299757729939, 79.13830970048768, 86.8239166402591, 51.16252322039647, 73.06458270929372, 90.35605256938624, 91.50982458759142, 113.97020595954669, 45.544114499046685, 64.9696322872357, 114.12054592236348, 89.34941740451139, 66.37537310002351, 71.83145676523327, 158.41812894403614, 112.24289831263854, 62.974882718040796, 74.48025763053202, 68.02672059214622, 27.301412458756385, 56.01418937804358, 48.42633606705993, 78.18151382702095, 77.49815201123243, 54.920955558193064, 90.81515618889128, 185.01094805992048]",19222.269001810113,18162.219927875576,"[70588.90005168993, 23546.4199946144, 7154.225802571347, 15400.564497806188, 19659.877935014487, 6407.977982755757, 11693.459933217753, 23498.359882650577, 18724.12360259668, 35079.016081632406, 3269.4093871446394, 8163.106010109434, 34304.269708986176, 19163.21867706942, 7059.972941713483, 12623.838376795633, 76734.79171559788, 34485.13893520884, 8148.4525660220825, 13403.933315260789, 8348.697565716173, 644.2184732329588, 4318.160306728273, 4461.477618452812, 11389.038939427845, 13572.109060118739, 6470.074259119567, 15576.46788248968, 43556.49954874937]",0.09688607043766324,0.04018960998830176,"[0.1277964015538671, 0.10716426144654367, 0.06886743329856083, 0.08216017202048341, 0.1588864766873654, 0.07289249405780465, 0.17009629965799575, 0.15111990593841035, 0.16107458858208662, 0.08230020959206782, 0.12899664956759394, 0.08003496388162253, 0.09609831358942923, 0.15424635520570956, 0.06801085554675954, 0.06871132092984063, 0.11474012761892224, 0.06819462743682689, 0.0909679265625464, 0.05420821975010982, 0.13337422370796315, 0.07786158055041384, 0.027159652938271904, 0.05316661960652132, 0.10398611436594626, 0.13746224846421395, 0.01030165928957893, 0.06860068516284548, 0.09121565568193277]"
21.17,13.03448275862069,8.126160394591082,"[38, 17, 7, 15, 16, 10, 10, 19, 13, 22, 6, 7, 23, 9, 10, 12, 20, 29, 8, 15, 5, 4, 7, 5, 11, 6, 7, 5, 22]",88.03024842835688,35.41741108315017,"[166.98963393920212, 98.35385625481172, 94.81641140242739, 77.10826536093506, 88.35756870670744, 51.10333129453701, 73.88436443871785, 94.26358511250974, 93.06645075229571, 114.64300573275624, 61.185669089047614, 65.4458544396917, 121.72254686050387, 91.20642625537089, 71.16747696296208, 72.18803501526284, 159.0271164687775, 109.63040782064866, 63.33522314473182, 83.01349990796224, 68.89132385052724, 28.103917277042438, 56.562658194303694, 48.23755577612864, 79.86296730482245, 79.17500334813391, 54.43952879512958, 96.04911384767784, 191.04640706872448]",20328.8801232902,18685.94121719527,"[71474.97965606354, 25790.086580907868, 14672.203644543095, 15825.035501851591, 20303.159015969675, 6383.599717185485, 11903.587535102524, 24472.600423667944, 18907.385791983463, 35706.41897817685, 7145.725230582522, 8197.054722011748, 35003.66204757792, 19867.498820658933, 8635.67355741589, 12823.981414121285, 77547.18457991764, 36193.88545090245, 8278.856970724544, 15154.94868059795, 8564.132170393284, 670.2983319246509, 4433.560733821826, 4410.567871513575, 11846.673369171249, 14145.572999732605, 6414.458090768045, 11716.781248936926, 53047.95043919078]",0.09613038806003422,0.040670037024932396,"[0.1102639729818484, 0.1080309170840081, 0.09120080702775336, 0.0661583083483851, 0.16797765282092433, 0.05649624947467881, 0.17610311645872606, 0.15135861319942326, 0.1576426763497908, 0.09727532602172209, 0.13005765439781508, 0.08014928950205186, 0.0759748027949456, 0.14707874276691363, 0.07314535930415957, 0.06418807110226002, 0.1097872947325127, 0.07352578705092466, 0.0828780250874914, 0.05458627813113256, 0.12168738493415095, 0.0866135007448097, 0.026520989958527863, 0.058122012934457214, 0.11217815980627129, 0.14694134516849744, 0.010285792466596156, 0.06827030121263486, 0.08328282187758011]"
21.33,13.482758620689655,8.538236224918606,"[40, 18, 7, 16, 16, 9, 11, 19, 13, 22, 6, 8, 25, 10, 10, 11, 21, 30, 9, 14, 5, 4, 7, 5, 11, 6, 8, 6, 24]",89.36123614387532,35.17959979246106,"[165.78745570479913, 101.82021248076946, 95.19725209622416, 78.27870724956261, 89.38088732065201, 53.28159803121339, 72.91421781553605, 95.27192215674094, 94.41329965298294, 115.0495536009242, 63.987392956460624, 72.28235652407679, 125.10372399277394, 93.60438544865319, 71.4865639132635, 71.96360644834454, 160.15811431153838, 115.18333989189827, 62.049088988920346, 84.21975018657439, 68.81079632308168, 27.928255208082515, 56.95237007459741, 50.02010968015148, 81.2535583788962, 79.81040724182802, 61.58068287421192, 92.30294986905155, 191.38328975057456]",21115.69623654378,18857.024870208512,"[73324.88738757906, 27330.314323254883, 14901.367995328708, 16383.128106767112, 21004.86986073073, 6325.12040847571, 12265.71608411712, 25353.44589625683, 19151.204697719157, 36065.32651523504, 7808.581023350356, 11202.399238777647, 36401.055715140894, 20928.244003337528, 8360.088457709862, 11580.410856509387, 78677.24931271313, 36970.99121406389, 9716.840442611014, 15713.982853612793, 8537.882360577942, 664.2305754654082, 4604.455646425511, 4737.869332506805, 12349.904541776044, 14391.241389959414, 8244.387385563243, 16177.645190013596, 53182.35004419081]",0.1003599360653261,0.0459155284097228,"[0.1117554307213339, 0.08352211874463045, 0.08067451735191294, 0.0715829048371911, 0.1785788777004286, 0.061858986729226316, 0.1458511439394138, 0.14334793915988736, 0.15686406916582707, 0.10806052043014451, 0.24124044876436748, 0.05576541046338003, 0.07877999756931109, 0.15221250999620126, 0.09636291789030285, 0.07411255460229378, 0.11918866706881555, 0.08945265187046993, 0.08644400898693558, 0.07452850956549094, 0.11484747938406552, 0.08513194974093971, 0.029928507687992194, 0.044598924549982946, 0.11248088015372637, 0.13495106124814243, 0.018499403244785953, 0.06731119659725802, 0.0925045577299992]"
21.5,13.862068965517242,8.8629410546348,"[39, 20, 6, 17, 16, 10, 10, 21, 15, 21, 6, 8, 26, 10, 12, 11, 21, 34, 9, 14, 5, 4, 7, 5, 11, 6, 8, 6, 24]",89.99167772681353,39.36512998418408,"[204.19636871659958, 101.90015576987062, 72.15426427509023, 78.47526319114432, 87.60372591885776, 52.17747784022191, 70.72742798511328, 103.73056546659907, 95.14007660318043, 116.08015990184815, 45.46651375327204, 71.92073271441285, 126.63210665155427, 94.62919092220035, 81.84493505428931, 72.94047853075956, 161.27220598788716, 113.75636925363527, 62.92113728987872, 73.07126121155879, 69.16830425607644, 28.721478282696875, 57.47903861451815, 51.76543073314553, 82.1895881198308, 80.78881817675578, 67.2222477732036, 93.19714602075167, 192.58618506264003]",22936.635076942774,24656.97027350194,"[119487.61807955438, 27536.113110036626, 9620.413766997783, 16750.60773456636, 21873.3863517572, 5807.045278692825, 11675.175354274063, 29424.294160488796, 21777.96774199001, 36638.96256861295, 3476.4003435652253, 11111.892540408537, 37102.403084655765, 21379.25571330712, 12356.0181900291, 11936.761603559038, 79831.31771006621, 38061.51697801782, 10053.55482238387, 13833.34384230827, 8760.672306593176, 711.7686155039694, 4778.603529929205, 5057.1728944266615, 12615.928806020263, 14748.678594927987, 8135.392256310585, 16504.305992074333, 54115.84526028251]",0.0997329722776925,0.043401012147110674,"[0.10593680211768938, 0.08092510587181839, 0.0839817289319719, 0.07856520751961636, 0.16833439466936395, 0.056261604774970164, 0.13601185456021575, 0.14846244728011676, 0.15219318074801785, 0.10932053532116781, 0.24172717832416152, 0.05401840862885539, 0.0875724892179389, 0.13691951385575027, 0.08284351747920879, 0.07683728942349195, 0.11189877058528552, 0.09317339673012227, 0.10377626969718046, 0.07646744150361105, 0.10916489462988962, 0.08946934033814803, 0.03541167144409647, 0.05214657420000537, 0.11020537450067189, 0.12436288194898455, 0.017521868812085277, 0.0682034602396787, 0.10054299269896798]"
