t,inf-count-mean,inf-count-std,inf-count-list,radius-mean(um),radius-std(um),radius-list(um),area-mean(um2),area-std(um2),area-list(um2),radial-velocity-mean(um/min),radial-velocity-std(um/min),radial-velocity-list(um/min)
20.0,11.21875,7.538008528825445,"[17, 6, 3, 19, 20, 19, 10, 13, 4, 9, 29, 4, 6, 7, 4, 4, 5, 11, 18, 12, 8, 6, 11, 34, 14, 6, 13, 12, 4, 19, 8, 4]",92.46997175323364,76.13594698931165,"[86.3456200877875, 33.59773038522918, 20.526591667664444, 124.42811466228609, 82.5030865598154, 84.86861945495943, 68.99010123441072, 199.5177043582906, 182.08194937990174, 59.21508806922349, 155.34129947186653, 57.10199175860799, 39.58855727918821, 60.105472587244826, 31.14416963183872, 37.323408174666824, 70.49949645439673, 57.6239763552034, 73.59679313378628, 62.8971239060135, 236.65231499248898, 57.821555814804334, 55.56953779992871, 364.84887706071225, 68.75472793927884, 63.0044088196956, 75.52285928406663, 73.9905380384285, 31.594772745232447, 257.5321215394034, 55.683159913103566, 30.76732754395154]",20517.45439729358,32249.992058770058,"[20128.9958333065, 1625.8163226793558, 294.0612145853073, 30411.54950059309, 18826.909368892102, 19631.641079953457, 9065.487502203507, 25942.85646209491, 14327.302832282734, 6232.150250729019, 49761.96263688267, 5414.934360271758, 3214.4598557190648, 8244.215039757959, 1165.038230938967, 1925.0273770285653, 4832.686560567508, 8497.125667672786, 14539.814651183035, 9802.365791702197, 119157.02774538558, 5053.619128741855, 7148.89440945494, 140675.98523465707, 12686.229147999955, 6785.735231331118, 12490.464176495585, 14825.499284556889, 1964.9079194290534, 77622.16206252211, 3404.471170002672, 859.1446637732499]",0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
20.17,11.625,7.93013850914305,"[19, 6, 3, 21, 20, 19, 10, 13, 4, 9, 30, 4, 7, 8, 4, 4, 6, 11, 18, 12, 8, 6, 11, 36, 14, 6, 15, 12, 4, 20, 8, 4]",92.90630973396165,75.37807131577922,"[87.68266868388851, 33.359913655641556, 21.422012671366712, 123.37732284189035, 83.36562010619875, 85.123443259857, 69.03976458205523, 177.05715059150756, 181.59124938744395, 61.757973054245966, 156.3987284405005, 57.42326392940849, 39.956553931196275, 65.4395154100971, 31.330398506913937, 36.72329903722515, 72.36771948252321, 57.71682788976776, 75.26452937687993, 63.29489806169205, 235.78976326027538, 59.19835810121382, 55.861786868750706, 365.1129308377174, 68.88373392704794, 63.07764562739507, 89.84213658871413, 74.58761860293058, 31.424728493515126, 263.2952073960525, 55.81707869823114, 30.418070184629517]",21622.87727338314,33643.901093210196,"[21479.27205241738, 1547.9017062467292, 357.94881278574036, 30070.34104133587, 19180.527740350713, 19904.79146021662, 9061.881339405289, 26722.112758898318, 14774.595776995857, 6751.11791826802, 50468.16775921971, 5457.262919567559, 3301.323232258533, 9630.971170143046, 1167.976452182595, 1874.0731086706164, 6720.344444359412, 8506.72276682315, 15267.283832463121, 9959.605771762193, 118316.39207979753, 5305.826508363673, 7244.746230661503, 141218.05261870625, 12670.228689123614, 6796.87058032069, 16350.903879022157, 15030.224363056364, 1926.7653707517957, 100585.41857521325, 3383.533847441439, 898.8879414317025]",0.056646800688231,0.033109645301493455,"[0.08998390467681187, 0.039883310569597735, 0.12269825432178567, 0.05398592501808301, 0.04394681318144113, 0.06209510437070748, 0.03620678188483935, 0.13391287313516703, 0.026618424638893145, 0.14433379926235, 0.04393713142496086, 0.0414379452320766, 0.06018706594726501, 0.06332352607054467, 0.0198917718244771, 0.005911970786313425, 0.07889887101646138, 0.04334855481181886, 0.10104995440082294, 0.049443966705937245, 0.009792419423851761, 0.09414351510362996, 0.0639274492932233, 0.02627602465556486, 0.046731046001177695, 0.042013402057164424, 0.06398783877493644, 0.06528469146117365, 0.02795685002826147, 0.04405995818491756, 0.037368537193162334, 0.030059940565973962]"
20.33,12.0,8.108140075496411,"[21, 6, 3, 20, 21, 18, 12, 13, 4, 9, 33, 5, 7, 8, 4, 4, 7, 13, 18, 13, 9, 6, 12, 36, 14, 6, 15, 12, 4, 19, 8, 4]",86.87797323997431,63.399094851955795,"[92.49313289213319, 33.53202020967269, 22.147436949349956, 124.06225898282614, 83.87568553981566, 88.18250536292527, 71.04863817215133, 177.10165427279776, 181.5280132722243, 61.09485941756641, 145.99069357778257, 66.48940660994425, 40.22502815601339, 65.6928006982059, 31.951960755079615, 37.27564436982318, 66.96232011147539, 66.3945108867652, 73.40070181720361, 63.62039185850375, 236.4139751600379, 59.667961606376934, 60.96546009780027, 324.2805214048608, 70.03221372911683, 63.23270171726405, 90.49005805173128, 74.9498336862963, 31.562336847303634, 92.28351027539861, 53.209888111550846, 29.937019079181074]",19455.637092003715,30515.329719102116,"[24134.40458018702, 1554.8171610752115, 353.14920905417546, 30619.249051266394, 19176.986578587996, 17268.68032179418, 11462.200863466793, 27520.693751445837, 14688.042881044945, 6610.746417531066, 51690.75715773961, 6393.99333719898, 3316.767410622132, 9735.628058940965, 1228.446344093384, 1909.97533890859, 6900.2266650486845, 10641.078403030058, 15138.0230684797, 10021.115357091385, 118685.43876360927, 5359.138706924478, 7914.352045666699, 141013.80997072606, 12726.127773991835, 6902.3690932521895, 16656.055284406128, 15112.73989704801, 1946.696040114277, 21570.178957999462, 3465.400278459105, 863.0981753144146]",0.059114731973851475,0.034540588027558494,"[0.09210639717032913, 0.04775345170225738, 0.13790459045938863, 0.06103817382604911, 0.04897220703232101, 0.06547294334486643, 0.04001532638347475, 0.13159794856938847, 0.026618424638893145, 0.15898460876965254, 0.04021497643403163, 0.04243014166794508, 0.038285859291127974, 0.049231907043324405, 0.0274499141620419, 0.010565166777681467, 0.05707258352455412, 0.04538812988582247, 0.1172639936637934, 0.047750987524862995, 0.018388766675732617, 0.09067886185496098, 0.06258728277381617, 0.041775174919891245, 0.05001497090601664, 0.03338762729869463, 0.0642794180653279, 0.07064434905086608, 0.022374761167441193, 0.05495677408939823, 0.05943483031412313, 0.037030874175172854]"
20.5,12.5625,8.277203439217473,"[21, 7, 4, 23, 20, 20, 13, 13, 3, 9, 34, 6, 7, 8, 4, 4, 7, 16, 18, 14, 9, 6, 13, 35, 14, 6, 16, 12, 5, 22, 9, 4]",96.01257405143264,79.47878553387655,"[95.29132484649111, 37.75416707166097, 30.29264367423005, 116.14884920911842, 83.13133178206192, 95.16540660147007, 71.46462177920834, 176.83240480041368, 28.649962822574327, 61.31126332977505, 147.19370631352538, 70.6560501467625, 39.911061010683646, 65.79787232875924, 31.663278095485367, 37.126408858712395, 66.60458266307404, 181.30492421340045, 73.94520780419225, 128.95047067271437, 236.34589194727704, 60.21486600769192, 65.27915125343632, 417.2564343377554, 70.88474081476667, 63.38598272274193, 85.75767128226467, 74.69027725645873, 45.65982071928931, 236.40594873488857, 46.99506716559546, 30.330979379364816]",23753.826634680398,34089.95714671966,"[25821.470620506658, 2202.9688099803143, 1643.4414453644304, 32044.17198997701, 18778.378741245957, 22021.58795971135, 12426.801356917655, 28656.654035265678, 978.6528305408732, 6640.458098950909, 53217.19184892216, 7784.1001546065745, 3240.4184216380704, 9761.07028096781, 1207.5687937947657, 1987.0584047728207, 6552.5077094168, 34884.04241234645, 15244.795335161027, 36375.90872174537, 119036.53741701183, 5366.164434750229, 8936.52504699396, 140441.30660684028, 12718.779883645795, 6996.313868998177, 16804.704385316792, 14979.923693971503, 3340.1845489911984, 105451.54772028007, 3675.3283558657363, 905.8883752744769]",0.0585412077077962,0.03104150018659726,"[0.05894035249889053, 0.039849230476451974, 0.12033183501749363, 0.06526179345173574, 0.04708189942198257, 0.05493198026303573, 0.060260428902253416, 0.10803160720733185, 0.027137903835051068, 0.17283055625336224, 0.04348210453911077, 0.08489707664332814, 0.04968695839719472, 0.05821886502499063, 0.03169552750155405, 0.010565166777681467, 0.05916435860955492, 0.044016240402431836, 0.10141299592591604, 0.05030917406155072, 0.047388991104718795, 0.08466598820585043, 0.056193099901996627, 0.0396312004481974, 0.049375754543030136, 0.036062811542140374, 0.06353847465847479, 0.05483324201769509, 0.022791172971719988, 0.05040467897080002, 0.04329630289877994, 0.037030874175172854]"
20.67,13.28125,8.344340848356351,"[24, 9, 6, 24, 20, 20, 13, 14, 3, 11, 33, 7, 7, 8, 5, 4, 7, 18, 18, 15, 11, 6, 13, 36, 14, 7, 16, 12, 6, 25, 9, 4]",98.33209058455985,80.38448656367216,"[99.87601486095645, 42.02888676320356, 32.404471951362645, 119.62303291189454, 80.49722101873456, 95.56655572860875, 71.94789995368387, 181.5605921911906, 28.333121608567097, 60.84154532282205, 158.13629683231275, 81.71815129670411, 39.67362733898155, 66.12397961156887, 32.50300630589289, 36.809627733171915, 66.9323139303006, 162.14887198634548, 74.58587538069209, 128.73201015563205, 236.6834777959808, 60.75220740854752, 65.46434126384645, 416.91150066190977, 70.05351922216394, 77.83264712463338, 85.98504520109498, 75.13024303245834, 49.88752308522719, 264.18117981238623, 53.702431090167906, 29.999680124871272]",24584.930592608984,34228.38166230034,"[26133.301315687047, 4156.323602037013, 2746.1197063754703, 32629.788965609634, 18921.42711344339, 22056.045128119684, 12677.45516996389, 32957.92224907158, 956.8480444519441, 7069.400007585838, 52998.462845273156, 13348.85590477624, 3259.2411923389727, 9807.820247860915, 1272.6813009866153, 2018.0224426515906, 6525.40103708001, 35438.083954014204, 15595.590895870704, 36550.38335348154, 119415.52705235238, 5460.606898188246, 9054.975297190622, 140867.8539111038, 12877.72886779876, 10246.098274122927, 17046.01691241338, 15134.017161887596, 5751.782445720471, 109020.81672619554, 3824.041865836686, 899.1390739976005]",0.056861422833280544,0.022160817148709145,"[0.08714950818057371, 0.06442046095950268, 0.08337242456748117, 0.059214817958564946, 0.045795775203564745, 0.05124256847133361, 0.0552397374407537, 0.10655451458043556, 0.03474800199851309, 0.0938474958915492, 0.053647357428613617, 0.09062500467443435, 0.045215978576618424, 0.05915723137314342, 0.029934366957056764, 0.010565166777681467, 0.06455009289650147, 0.06686883396254437, 0.09040940663021296, 0.04507722165606099, 0.050986716697000646, 0.07855990200781329, 0.06807905743734996, 0.03932405709636619, 0.050647471976067227, 0.028284434703726945, 0.06073312720881867, 0.05124227936666424, 0.03451395309012458, 0.04244569787675102, 0.057898450022189116, 0.019214416996964738]"
20.83,13.71875,8.565626636587622,"[24, 10, 7, 26, 20, 20, 13, 17, 4, 11, 34, 7, 7, 8, 5, 4, 7, 17, 19, 15, 11, 7, 15, 37, 14, 7, 16, 12, 6, 26, 9, 4]",98.00334606457778,81.99969138248738,"[97.71036836040778, 46.164619304203256, 36.84478811174535, 170.48195784400073, 82.31065081764311, 95.5170016836704, 71.71361365068176, 206.06392747173498, 37.54339010642899, 61.61637088722881, 189.56880415850625, 81.99574865865948, 40.95474103212131, 66.23304089572399, 32.54551807437273, 37.29654322827831, 67.32540743292348, 75.04702339910682, 75.89500262653284, 68.78486372983426, 236.4335092581451, 66.18086259743248, 70.51179960590098, 417.92452219100386, 69.64972987747085, 79.37618071404971, 86.12916132719958, 75.08415371825268, 49.53817402196, 264.626404048134, 48.16416420048481, 30.87503103265081]",26343.780040507347,37396.452661670206,"[26663.52929314596, 5261.195955472937, 3399.953510662922, 65590.91862855476, 18633.79795578315, 22061.29258820382, 12680.15148937825, 39520.96249879138, 2099.2376868771607, 7156.1549171063125, 104089.26765404163, 13511.946363287188, 3531.0110722583577, 9901.85703723444, 1279.7130775227624, 2071.4196482099396, 6547.4810984389405, 14296.814344944501, 16158.14050040642, 12757.033806156785, 119283.20760000202, 7042.614003338309, 11354.241293510204, 141957.84185832093, 12933.947689638924, 10538.374745843106, 17054.75065916264, 15112.468649806668, 5652.48174177249, 109933.54160738541, 3929.4978863698475, 996.1144346068181]",0.05784058583888687,0.02174529973417709,"[0.07352896724431278, 0.07354850077460352, 0.059859363257451524, 0.068719435105224, 0.044578997014305524, 0.05841484636571694, 0.055978058591515736, 0.10054547886514598, 0.03474800199851309, 0.10080357115214153, 0.05153809215502432, 0.08473981657479791, 0.050958370413355804, 0.053596072856412526, 0.024644881426129386, 0.01426870182448961, 0.05827663505354117, 0.0645168057705525, 0.09988554715738587, 0.061181933047080736, 0.05504590716157901, 0.08374159102898847, 0.06708518665877575, 0.038285417504505884, 0.0520027375516612, 0.07904063238373879, 0.05958214229587042, 0.04445965273954704, 0.018949045881554882, 0.042712629738880334, 0.045785040605973645, 0.02987668664560399]"
21.0,13.90625,8.72652380630085,"[25, 9, 7, 25, 20, 22, 15, 17, 4, 11, 37, 8, 7, 8, 5, 4, 9, 17, 18, 15, 10, 7, 16, 37, 14, 7, 16, 12, 6, 24, 9, 4]",97.94986931419018,76.68214916918124,"[100.82703344122989, 46.749676502621206, 37.94960136962684, 167.77857959043175, 82.43382704809136, 104.43502690140728, 77.41440953953818, 206.9195214267781, 37.528333814737906, 62.39782150630399, 217.2212680998063, 77.36046856274781, 40.500278540428134, 66.81681958725164, 32.849393066841195, 37.299860481168835, 75.78351006864625, 75.51090527613411, 75.98776687671193, 68.83779120036243, 237.26140858069243, 67.04936929314498, 70.40205829897697, 365.8806780334706, 69.79248862965088, 79.3097998889487, 86.65561624360859, 74.77331452868627, 50.814299203590146, 260.7133432104726, 48.560596674721644, 30.580952567256688]",26824.741836302834,37119.89334221612,"[29605.042863946506, 5392.8245335094, 3631.0881201409375, 65373.43031275145, 18669.02510362138, 26864.81141411509, 16282.523664433513, 41054.34406261473, 2045.0073949171697, 7360.235934853309, 110838.41325243861, 14544.87001981267, 3448.588298994857, 10037.64910165214, 1286.953552847855, 2088.268979524792, 9118.089706178747, 14552.00629836539, 16243.64156122636, 12841.50658647042, 120536.3633624479, 7194.886405737942, 11937.910285639617, 142114.9400440718, 13063.92628558132, 10384.201482807091, 17319.222492193534, 15028.481875127654, 5968.894965177732, 98648.70002643888, 3930.8669607109714, 985.0238133408792]",0.056017755160750776,0.02128773132128478,"[0.08116243203304216, 0.0641508534022476, 0.06768667069669707, 0.06732978511937379, 0.04618858633102713, 0.05933042900113861, 0.05868143981098519, 0.11133023382310454, 0.026061001498884816, 0.09502276720099725, 0.04854780125967699, 0.07558376650364841, 0.04451579573174883, 0.055027948074615106, 0.02029850166492204, 0.01642752856389918, 0.04408146598231548, 0.07178255598325167, 0.08957862913587032, 0.05430181738242187, 0.04910321246895087, 0.07894673628248633, 0.06476896466767651, 0.03871553234989169, 0.04348940858250642, 0.06510554834422652, 0.052900621029745076, 0.04396204472892027, 0.029082089408685414, 0.0466579590136318, 0.05593788751845428, 0.026808151548981873]"
21.17,14.4375,9.06228448019593,"[26, 10, 8, 25, 20, 23, 15, 17, 5, 12, 37, 8, 7, 8, 5, 4, 9, 22, 20, 15, 11, 6, 16, 39, 14, 7, 16, 13, 6, 25, 9, 4]",94.64313730283251,72.35948682913155,"[101.48366819324355, 46.732770530671324, 41.20301112634987, 128.9821286963705, 82.38379035408911, 104.58054359723086, 77.66877166049923, 174.30308939307352, 36.68747112205085, 61.313424040738504, 156.657930568837, 77.75124473690909, 40.42859945664368, 66.97501550631416, 33.49051779658327, 37.59693607127666, 75.54690355894992, 84.45312481136413, 89.23022397756922, 69.20501596510806, 237.45227697453637, 63.34793155523394, 69.67663719125497, 365.6733716042614, 69.8494360870578, 79.6783348471745, 86.78489503066933, 75.18217957459208, 50.89073602554798, 264.63953445875353, 49.01179080262184, 29.719088375064064]",25013.36314772606,34607.30724404943,"[29960.093361172883, 5389.795456897363, 4147.88246623089, 37881.77135588409, 18676.051149689258, 26916.071805002648, 16522.68550969838, 38860.03681773033, 2439.88940630492, 9144.390970936185, 61276.46313024492, 14588.326670934457, 3423.2907113142646, 10082.260234338779, 1335.9100648004614, 2099.0178180836006, 9013.065073629949, 19859.010158353223, 18371.354860424446, 12840.73617518764, 120797.60503499453, 5891.030861950219, 11818.244812139808, 142596.6482084895, 13075.738527873493, 10353.902303824118, 17407.74507506487, 15194.545292121697, 5999.1211018245685, 109504.40165877994, 4034.7244704823684, 925.8101828300533]",0.05560839700315345,0.021982280465103254,"[0.07448296718938538, 0.06715858007866707, 0.06712851714679005, 0.06860607232379846, 0.03803837814662446, 0.05410032202503603, 0.0885974334357297, 0.0985762854788553, 0.026061001498884816, 0.10038499276328783, 0.05342734068897691, 0.07496164017220477, 0.04451579573174883, 0.05302513803462165, 0.023573452242881085, 0.017341167898470213, 0.029389790958126993, 0.06944154026568136, 0.08908618762820492, 0.045491501212155595, 0.04868157011752788, 0.08590809698031684, 0.07057557931216143, 0.03951424572516106, 0.04605869958872367, 0.061364667053851366, 0.051793702423124255, 0.041606184758827575, 0.03167393117467114, 0.04455109156020853, 0.04917853207244638, 0.025174298413758595]"
21.33,14.71875,9.130715178857534,"[27, 10, 9, 25, 20, 22, 17, 19, 5, 13, 37, 8, 7, 8, 5, 4, 9, 22, 21, 15, 11, 7, 15, 40, 14, 7, 16, 13, 7, 25, 9, 4]",94.3940154049771,75.29399719472774,"[102.97468159178803, 47.46349038215104, 45.23861171259688, 135.35148251407816, 81.67485096685955, 96.26373863911809, 78.06100825563625, 186.00343888975206, 36.777062604920836, 61.85430861479687, 156.693719041002, 78.23381161833122, 40.44698185078491, 67.26269829132646, 34.62539692693312, 37.90135035341251, 78.87524661108237, 85.12531505307305, 91.10163718862529, 70.15309152263647, 134.59971925193122, 67.68073827935662, 69.32781861094807, 420.12957587688896, 70.342985299661, 79.43155606024462, 86.35371167497908, 74.9715036504922, 55.051811343077986, 264.47452111748254, 55.65217453864602, 30.510454626653814]",22458.238402400675,30251.904271015355,"[30615.316302291365, 5583.923691509436, 5075.100623609996, 40590.645435642975, 18355.000141657732, 24465.327540899732, 17237.334248778134, 41224.67683543226, 2397.6095285094393, 9385.644197332414, 61265.05315120148, 14789.37093565575, 3431.9735114631576, 10194.189507620216, 1402.79422389387, 2112.597153647574, 11794.624590294457, 20194.204225940306, 19045.682514965018, 13192.783854056532, 26240.648697220655, 7209.174891195752, 11199.961196793072, 144956.26054551473, 13228.416745724038, 10499.427028130423, 17112.36570794341, 15104.826312398662, 6989.452015618553, 108763.12879697066, 4017.1539706315657, 988.9607542783624]",0.056238338384067686,0.02466742785979171,"[0.07359071364953979, 0.07636025556539926, 0.08540475354381086, 0.06592491574281524, 0.03837248894873081, 0.07395106410018577, 0.062479074521140154, 0.10813061270424844, 0.02219733042003231, 0.12428446461824724, 0.0524210737843674, 0.07244755305623055, 0.044279292788946795, 0.05404591155363712, 0.026371772821646572, 0.014038867191172592, 0.029389790958126993, 0.06611891947328934, 0.08303501886137912, 0.052265725257282, 0.04238928828355884, 0.08553961358128631, 0.07169506377921743, 0.03797776331841295, 0.036770415673548086, 0.0599047169819298, 0.046310059300701624, 0.0388506489798957, 0.034687152265377046, 0.04419700915826187, 0.05100583552255854, 0.02518966188518936]"
21.5,15.46875,9.4424722534972,"[26, 12, 10, 29, 20, 25, 17, 21, 5, 14, 37, 8, 8, 8, 5, 4, 9, 24, 22, 15, 14, 7, 16, 42, 15, 8, 16, 13, 8, 24, 9, 4]",100.14699855759149,73.15729480933986,"[102.1833490703668, 52.08720737255262, 55.43876032557249, 130.17785082861144, 81.97444618439849, 106.08993129346487, 77.34665270184902, 191.69403738688126, 36.57294489936925, 160.96720286376194, 147.90988077825256, 78.86228626169371, 39.328397904681104, 67.46169045699698, 35.5804384691336, 37.99352931766293, 78.516869570948, 91.10119691259253, 86.71229585052231, 70.67528031884959, 237.4229108465209, 68.85573016728958, 69.84081689730712, 371.4346273205136, 75.98804682562879, 85.8767367109737, 86.55074359264475, 74.91942788348808, 54.79210104681396, 264.51068858472433, 55.94608921495042, 29.891785983910456]",27621.563196746734,37926.616278254434,"[30468.45305805928, 6777.6077502341395, 6965.036064135132, 41784.04161605204, 18564.46166848502, 26583.779465409258, 16955.74060295963, 50624.00097905306, 2344.0730746841537, 28029.85630863213, 59026.71624537342, 15057.798844377521, 3853.727757700775, 10309.964791903887, 1449.0872089269424, 2051.2624046471574, 11796.493156680404, 21858.532598519127, 19427.788619987696, 13383.183024570362, 120957.40900528277, 7506.1911209264745, 12007.195303756977, 174011.7527902888, 14821.874346580957, 13454.566278608238, 17259.774780925734, 15104.116671574458, 7612.540772287507, 108892.87525472118, 4040.50139134214, 909.6193392092817]",0.05614960148269531,0.026469945492850748,"[0.07121622376225958, 0.07578566129143602, 0.07439580142605813, 0.0646264752860893, 0.037604549767463066, 0.06889880232614617, 0.057172981564537116, 0.14813756703410624, 0.02465744214886783, 0.11447335914116814, 0.052335328564037754, 0.06744818493503116, 0.04438456856807696, 0.053326588237104754, 0.03066089040921647, 0.01651315549431344, 0.03077893827311623, 0.07015253210196114, 0.08650129164671874, 0.048776557594033, 0.04375366285899509, 0.08215985062902513, 0.06799145296282474, 0.03846757221532156, 0.0390715103273706, 0.05730776053969182, 0.039676412354663654, 0.040646426657852334, 0.037076825637704355, 0.04302300429133474, 0.04457620751453488, 0.02518966188518936]"
