t,inf-count-mean,inf-count-std,inf-count-list,radial-velocity-mean(um/min),radial-velocity-std(um/min),radial-velocity-list(um/min)
20.0,7.833333333333333,3.920034013457876,"[3, 11, 11, 11, 3, 8]",0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
20.17,8.5,4.636809247747852,"[3, 13, 11, 13, 3, 8]",0.1128041723621777,0.08187464996123435,"[0.12672508130832275, 0.07127097696814536, 0.06819876368703723, 0.2624895960759278, 0.00022601658068310826, 0.14791459955294997]"
20.33,9.166666666666666,4.708148963941844,"[4, 14, 12, 13, 3, 9]",0.14420603178430894,0.08200028222974533,"[0.14285231892186862, 0.19537375160250733, 0.07466944171663478, 0.2629554172077838, 0.011372759229442763, 0.17801250202761634]"
20.5,9.5,5.0099900199501395,"[4, 14, 13, 14, 3, 9]",0.14484431940486256,0.08175077793241964,"[0.1278031591050338, 0.18689361228607307, 0.07871833216850957, 0.2496398629444871, 0.011372759229442763, 0.21463819069562912]"
20.67,9.666666666666666,5.202563470700446,"[4, 14, 13, 15, 3, 9]",0.13430283380404465,0.07624556679243526,"[0.13033611659433056, 0.17821860051466845, 0.06756156867610846, 0.24203803801222717, 0.011372759229442763, 0.17628991979749056]"
20.83,9.5,5.089204259999788,"[4, 14, 12, 15, 3, 9]",0.13396193598769093,0.06950519747328804,"[0.13815351755186972, 0.15682982364021042, 0.08467882634955706, 0.22805079803911546, 0.012643491115145882, 0.18341515923024723]"
21.0,10.0,5.138093031466052,"[4, 15, 13, 15, 4, 9]",0.1284426942723401,0.06522160909202429,"[0.14536556542531792, 0.1510534207496056, 0.07669186418152998, 0.21889731388357564, 0.015823013502125383, 0.16282498789188588]"
21.17,10.666666666666666,5.819507424745385,"[4, 17, 15, 15, 4, 9]",0.13442231579655858,0.05539897331253192,"[0.14912268616223617, 0.14243687415100326, 0.07889316246598901, 0.22312063327357712, 0.05346353087736083, 0.15949700784918514]"
21.33,10.833333333333334,5.980523945831725,"[4, 17, 16, 15, 4, 9]",0.13423591872777174,0.04827717209164894,"[0.14260766211584544, 0.1335455150298538, 0.09453745165305995, 0.21416151730753782, 0.0612823518906934, 0.15928101436963998]"
21.5,11.5,6.284902544988268,"[4, 18, 16, 17, 5, 9]",0.13452036602096643,0.0418525337096024,"[0.13436528944192205, 0.13149735449637015, 0.11282528473994416, 0.20197560093054903, 0.06541122267592606, 0.16104744384108732]"
21.67,12.166666666666666,6.369196704975177,"[4, 19, 16, 17, 5, 12]",0.1307794260430077,0.047026684569087165,"[0.13531284671319613, 0.12849150552330343, 0.10602225701786776, 0.20330740869760927, 0.0504574988153846, 0.16108503949068492]"
21.83,12.166666666666666,6.6156380392723015,"[4, 21, 15, 16, 5, 12]",0.13880809643106576,0.05761422894460311,"[0.13216065106964692, 0.16281529999647842, 0.09509227505928056, 0.23489223986046942, 0.0504574988153846, 0.15743061378513454]"
