t,inf-count-mean,inf-count-std,inf-count-list,radius-mean(um),radius-std(um),radius-list(um),area-mean(um2),area-std(um2),area-list(um2),radial-velocity-mean(um/min),radial-velocity-std(um/min),radial-velocity-list(um/min)
20.0,8.454545454545455,4.390071442781686,"[5, 14, 7, 15, 4, 6, 3, 11, 9, 5, 14]",50.77545831925147,16.695897176397267,"[28.381777120050312, 69.18987626463537, 41.475194959907434, 76.51651223633104, 35.159074447065585, 52.0015507122222, 32.893402858725736, 46.60975191935269, 57.17794447212217, 40.87147409294296, 78.25348242841066]",6329.897458049728,5058.395234530266,"[1539.0362179512117, 12580.974197212563, 3788.5971974131708, 13157.797902297729, 975.7088848238732, 4734.512903746819, 1032.3605685111936, 5395.18979996891, 6418.671473497427, 3709.6551759798344, 16296.367717144287]",0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
20.17,8.818181818181818,4.190899230909324,"[5, 14, 7, 15, 5, 7, 3, 11, 10, 6, 14]",51.46931295306881,16.068188862131844,"[28.67721809166969, 69.04319425908308, 41.59758751656266, 73.9201066845594, 37.93188937155878, 50.61267585449524, 32.799823970380665, 46.805564955870956, 57.285373852700396, 47.60820311513875, 79.88080481173724]",6738.964436880095,4956.37593716773,"[1579.1288395939246, 12454.621122596422, 3873.2772995898345, 13313.102933750099, 2191.839702653655, 5915.18203515231, 1022.2870633401799, 5460.530199215142, 6561.724707286054, 4982.432586563754, 16774.48231593966]",0.07064174918513737,0.04969523438579756,"[0.07473722814348974, 0.018077482191678155, 0.08369878073676697, 0.06119814149083912, 0.027423803485667798, 0.19593899031155412, 0.0344329931406835, 0.037089348147672944, 0.04599639411557569, 0.06857368367679477, 0.12989239559578827]"
20.33,9.363636363636363,4.433344725435352,"[5, 14, 8, 16, 6, 7, 3, 11, 10, 7, 16]",52.23623438969905,16.578711857045914,"[29.598149730425376, 69.25721189569907, 42.01292926396378, 75.35245343692795, 37.548671295866455, 51.0055682723483, 33.7365220477891, 46.82769692551751, 56.89462153371786, 49.11050806006917, 83.25424582436501]",6949.618190309087,5200.132492033064,"[1664.5174059848362, 12604.143502779702, 3954.561671670622, 14192.350968482362, 2164.3892905941807, 5992.158534729713, 1088.8045632531978, 5405.383016528316, 6444.884892872971, 5364.065639751839, 17570.540606752216]",0.06926579283217028,0.03341542469316815,"[0.07858782601089362, 0.032909587175460456, 0.06838423196595682, 0.061426240092368876, 0.028537433403261436, 0.1343220532921855, 0.05473987045729013, 0.04787632519310621, 0.03815575532098102, 0.09832601536254251, 0.11865838287982666]"
20.5,10.272727272727273,4.692353547867191,"[5, 15, 11, 17, 7, 9, 3, 12, 10, 7, 17]",55.131956583272355,16.693658719375144,"[29.95729575366586, 69.75550064511432, 60.34033246139967, 77.93693313840693, 36.45884868586675, 58.06142676387139, 33.47362128791192, 48.48705547670004, 58.77942336164835, 50.41738692871044, 82.78369791270023]",7757.873226591193,5601.432696431005,"[1709.876622064276, 12946.9084948575, 6595.464957588684, 14968.010398163202, 2231.9930510936883, 8227.460063638811, 1036.2414722383885, 5743.742830502721, 6577.72707425306, 5612.138469416928, 19687.04205868585]",0.06437217888641486,0.024805050119705994,"[0.06706710001929335, 0.032589761789568135, 0.07491892575698166, 0.06264206107259827, 0.03379361617484582, 0.10642834044676656, 0.049646631362920954, 0.060266218485142395, 0.03334462900931482, 0.09083849802242076, 0.09655818561071074]"
20.67,10.636363636363637,4.822296699140924,"[5, 15, 10, 19, 9, 9, 3, 11, 11, 8, 17]",57.22545603462154,15.660131974365449,"[30.287028473658125, 69.902091295793, 63.69432741730255, 76.52876189272804, 49.7928958591538, 58.245806646584846, 33.44459547710561, 47.683171579812296, 63.00940889849462, 54.32727330183476, 82.56465553836917]",8319.521243043178,5540.3091757005595,"[1742.2897699829427, 13090.464778811687, 6775.372282378712, 16156.77664816197, 4422.40684059694, 8283.082415881876, 990.3509585332055, 5681.659504473834, 6903.216898742357, 7763.73519246607, 19705.378383445357]",0.0667760483891331,0.03041288116163586,"[0.060026258092663966, 0.028731320796415515, 0.0688345381467915, 0.05603705221668247, 0.03156765165630816, 0.09478560499883051, 0.06244627161070326, 0.06659798974394024, 0.032379918072042074, 0.13031162334897334, 0.10281830359711312]"
20.83,11.090909090909092,5.2048928030180495,"[5, 15, 10, 20, 10, 9, 3, 11, 11, 9, 19]",61.01623214448577,17.892461493539926,"[31.113579129486833, 69.80783665312372, 63.540974077673695, 86.17627496589762, 58.85895900021227, 58.53339139087074, 34.325006624154035, 48.89555454473563, 63.077320188496685, 63.759193368637746, 93.09046364605446]",9242.529387407825,6495.343534626041,"[1827.79830441645, 13115.537119733657, 6734.519316911097, 20222.242360445725, 5495.034907885474, 8324.444016825713, 1118.817366549553, 5867.9593457070805, 7222.195759526433, 9424.723020087096, 22314.551743397795]",0.0711173075697448,0.028488477713320345,"[0.07049667996641758, 0.028251000524643705, 0.06393010099326019, 0.05661275081750204, 0.0850764390871789, 0.09151592159978068, 0.05812373867803679, 0.07723707907790095, 0.027028900441546645, 0.13101294031459515, 0.09300483176633029]"
21.0,11.545454545454545,5.574291638650356,"[5, 16, 11, 21, 10, 9, 3, 12, 10, 10, 20]",62.6544369311725,19.797968576495176,"[29.449430288014533, 78.03434977457265, 71.85174682798478, 87.20321738326984, 51.10515178142341, 58.45071362967578, 34.43482745376135, 51.423651179176446, 60.61868349084267, 70.01061964309018, 96.61641479108584]",9908.88558550064,6987.754678677386,"[1924.7105065314897, 15457.0379118322, 8674.104880605113, 20594.95054822943, 4501.522047042743, 7973.981627223224, 1047.6875910846807, 6667.197275650058, 7354.086937153321, 10841.51033182458, 23960.95178333021]",0.07131024085054119,0.03026018109246551,"[0.08698967900030143, 0.02804159682200529, 0.05454055970276358, 0.06882117525001376, 0.07607564535788262, 0.09982995963434224, 0.03855571748089564, 0.08362030647656529, 0.030409426624252174, 0.13251358397295082, 0.08501499903398013]"
21.17,11.909090909090908,5.629467922540202,"[5, 15, 11, 22, 11, 9, 4, 11, 11, 11, 21]",64.42177584070649,20.722406859401012,"[29.92562641923044, 77.07861223796804, 70.84020783219171, 92.6839631321174, 58.734591890542184, 58.0282814553658, 35.27240238944885, 50.482845193047524, 63.405029736060044, 70.66887047727103, 101.51910348452834]",10280.905664787697,7320.503169405329,"[1981.7503325791668, 14595.836056152595, 8776.819582422417, 21446.992105120848, 6050.913253559571, 7893.780057028221, 1132.8746991631565, 6118.275383477892, 7537.7582380056865, 11758.384155372607, 25796.578449782497]",0.07195186000619887,0.029752923554329933,"[0.09210713233520522, 0.028943980373394424, 0.04460254188284116, 0.06562923840665366, 0.07127953086164507, 0.1187329009697828, 0.04728477713589517, 0.08812184605322082, 0.030720454587104474, 0.1099668524975291, 0.09408120496491555]"
21.33,12.181818181818182,5.671299354084244,"[5, 16, 11, 22, 12, 11, 4, 12, 11, 9, 21]",63.673680605714814,20.71945346465558,"[29.78587700810923, 77.30473876839638, 70.63277749823524, 93.44722672730414, 54.67433720806661, 58.06940848535963, 36.53345506051604, 52.22949043498315, 64.09980923598832, 61.63382940158473, 101.99953683431944]",10376.69601730501,7380.692660723541,"[1975.1167507963103, 15624.034003202321, 8828.676406055063, 21844.58979300389, 6622.486130316111, 8662.989881408983, 1219.1808410038477, 6806.4937268587955, 7691.670605148995, 8868.954424310286, 25999.463628250527]",0.07185683765655095,0.029804380995918166,"[0.09229936292884784, 0.029049796170256326, 0.0450532735710646, 0.07486356877306807, 0.06183268365349511, 0.11588133308779862, 0.03783623975016999, 0.08813129067813587, 0.038295283747017614, 0.11339135039908221, 0.09379103146312422]"
21.5,12.909090909090908,5.940615211483495,"[5, 16, 12, 24, 13, 11, 4, 14, 11, 11, 21]",64.51184978243698,19.56713234855359,"[29.509807824260754, 76.37764001207398, 70.80984323289711, 87.54257243337307, 57.90786008336989, 57.749142196408165, 37.55138767714711, 59.32309119604561, 65.26146690217952, 65.25272339711954, 102.3448126519321]",10934.5979355923,7340.898072944685,"[1942.1755347636752, 16215.393626796782, 8976.11163862128, 22412.712080244743, 8172.96001098937, 8432.380940819634, 1341.8950312395111, 8492.557949313154, 7905.498554019243, 10384.64695717349, 26004.244967534414]",0.07169861538035503,0.027771620480564235,"[0.08660663759324798, 0.05042147841320791, 0.04589087651574228, 0.0612290000231432, 0.05511483927950979, 0.11990009466023452, 0.03923692538316751, 0.08667098928553837, 0.04078894886453696, 0.11617223845791654, 0.08665274070766031]"
