t,inf-count-mean,inf-count-std,inf-count-list,radius-mean(um),radius-std(um),radius-list(um),area-mean(um2),area-std(um2),area-list(um2),radial-velocity-mean(um/min),radial-velocity-std(um/min),radial-velocity-list(um/min)
20.0,12.181818181818182,7.756522182243558,"[32, 12, 5, 7, 12, 7, 9, 15, 12, 18, 5]",76.98070767281796,29.22059716127824,"[148.80629550840362, 104.16786198280268, 52.39720756054782, 63.98840051174763, 72.75231201892159, 51.42552808346331, 62.97731107959558, 72.7171902513474, 83.8528646461587, 94.98874874702628, 38.71406401098292]",16426.949163033165,14722.988632709026,"[57569.87886839225, 21408.697747095244, 4483.370899772514, 9075.577253207624, 13099.175758098352, 5626.813281100982, 9166.68141918289, 15430.85967781411, 16206.904261621161, 26141.834332703438, 2486.6472943762465]",0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
20.17,12.909090909090908,7.955558377066256,"[33, 14, 5, 8, 12, 9, 9, 16, 12, 19, 5]",78.30623335671177,28.379065750302985,"[148.2286832098642, 98.40670385458992, 52.63922197725153, 66.69408093921004, 81.6248958797673, 50.24780040348866, 67.2167122831875, 75.23435135884993, 85.2213328689837, 96.0192701306238, 39.83551401801286]",17170.142180857183,14840.518221126793,"[58269.0086662097, 23093.70221797359, 4473.800034233278, 10207.311781264789, 14005.430886845746, 6318.029901387045, 9487.889993324618, 16625.545272002964, 16756.58596788264, 26867.557075076053, 2766.7021932286084]",0.11974104002905693,0.04135636705719519,"[0.10984999275048804, 0.11120128704101964, 0.10032488816258103, 0.09869237000050671, 0.1611574738785141, 0.059700253032666295, 0.2233396914958929, 0.14101501558552482, 0.10166045273335891, 0.08833849111335268, 0.12187152452572114]"
20.33,13.636363636363637,8.273726213414696,"[34, 14, 5, 9, 15, 10, 8, 17, 13, 20, 5]",80.80398098429157,30.55475994987331,"[153.90125685057254, 98.00487939072275, 53.25151401909646, 73.28097653889351, 79.68026743637937, 49.355006474318095, 61.138844814225884, 82.98198603688103, 86.69893364648223, 109.45883000283219, 41.09129561680316]",18506.521855069877,15822.05566535225,"[61511.45018690472, 22871.738794945086, 4582.724246602536, 11317.683335631562, 17914.98829328887, 6054.913719662187, 8882.906404823243, 19855.72155773016, 17260.034199554262, 30470.655850944648, 2848.923815681327]",0.1212475019477702,0.03537883975525002,"[0.11780673624040887, 0.11066606111290259, 0.07180587977530932, 0.08533353424307392, 0.16557565987571116, 0.06396093339856192, 0.16819944928958633, 0.16222783659607198, 0.13445266738472955, 0.11037720845164709, 0.14331655505746962]"
20.5,13.454545454545455,8.33503013028311,"[34, 13, 5, 10, 15, 8, 8, 17, 13, 20, 5]",81.97937941167712,30.722430942026374,"[155.01073589358813, 102.71168045465038, 54.43401317983461, 72.43589673267128, 81.22844275129347, 52.59868598096906, 62.15554385338183, 81.91364619458727, 87.50969442269943, 110.58415008774972, 41.19068397702316]",18887.579641660108,16145.475494367192,"[62991.57224624034, 21765.463099160483, 4731.089133250129, 12365.442231517743, 18636.906435778932, 5812.493899798186, 9255.406231886771, 20531.94629073637, 17544.80969185723, 31137.056010924294, 2991.190787110703]",0.11975630243292633,0.031812255814742174,"[0.11331350590189997, 0.13264399639805144, 0.08159180207424054, 0.07792820516684751, 0.16477796296350106, 0.08381429464500606, 0.16994566829631547, 0.14284322560704493, 0.14434097352113945, 0.09342166525947519, 0.11269802692866826]"
20.67,14.090909090909092,8.50240607657086,"[35, 14, 5, 11, 15, 10, 9, 18, 12, 21, 5]",83.11994206216345,31.370399673186053,"[158.53795972880098, 98.54802362794148, 55.67460766350305, 73.86208912130222, 83.77006888348468, 50.62907976575389, 63.91767030127895, 87.90937685693335, 88.7283620615826, 111.6554113262463, 41.08671334697042]",19706.22918796025,16446.526771445908,"[63810.64537635439, 23544.974636887957, 4889.5232516198, 12722.135409195049, 18811.65668956389, 6329.014452617911, 9918.491744555911, 22263.29231913369, 18021.212778506615, 33358.71411368218, 3098.860295445327]",0.1197515813063625,0.03850392777876476,"[0.11840288698019126, 0.11505406960675246, 0.08337591960769129, 0.06130787879205013, 0.17042042967694973, 0.07350919290079451, 0.18566783899871483, 0.1459871163003452, 0.15024033790129654, 0.0903173488432135, 0.12298437476198817]"
20.83,14.545454545454545,8.73342586117998,"[36, 14, 6, 12, 14, 10, 10, 18, 12, 23, 5]",86.96389285801422,30.348558446482347,"[161.6401615267925, 96.62937061530621, 76.60639324357712, 79.21914804281109, 86.84836333606596, 50.74696227798864, 71.95932665017628, 89.0968865728061, 90.09064762901056, 112.51815119448563, 41.24741034913643]",20505.937320541256,16581.638091035682,"[65511.582349911194, 23881.939444924723, 7403.519451528191, 14047.06413169679, 18698.05695124049, 6254.4665128456, 11313.132851462575, 22869.256237329922, 18469.960228253112, 33821.90521446893, 3294.427152292287]",0.1171590510103841,0.03590426237790626,"[0.11932665545590515, 0.11145499820558802, 0.08175621485281488, 0.06249322474172442, 0.16375102337383252, 0.07140133343616127, 0.16525766234320868, 0.14667267249334276, 0.15482451770118805, 0.08615403091597143, 0.12565722759448783]"
21.0,15.090909090909092,9.246129411321748,"[38, 15, 6, 14, 16, 10, 9, 18, 12, 23, 5]",88.11646170030284,29.89421934687696,"[162.45099198679102, 95.7675592532327, 79.49299757729939, 79.13830970048768, 86.8239166402591, 51.16252322039647, 73.06458270929372, 90.35605256938624, 91.50982458759142, 113.97020595954669, 45.544114499046685]",21365.666831972198,17869.426007328533,"[70588.90005168993, 23546.4199946144, 7154.225802571347, 15400.564497806188, 19659.877935014487, 6407.977982755757, 11693.459933217753, 23498.359882650577, 18724.12360259668, 35079.016081632406, 3269.4093871446394]",0.11921408112752539,0.036511313769476875,"[0.1277964015538671, 0.10716426144654367, 0.06886743329856083, 0.08216017202048341, 0.1588864766873654, 0.07289249405780465, 0.17009629965799575, 0.15111990593841035, 0.16107458858208662, 0.08230020959206782, 0.12899664956759394]"
21.17,15.727272727272727,8.90045964083776,"[38, 17, 7, 15, 16, 10, 10, 19, 13, 22, 6]",92.16110382581344,29.19479720789723,"[166.98963393920212, 98.35385625481172, 94.81641140242739, 77.10826536093506, 88.35756870670744, 51.10333129453701, 73.88436443871785, 94.26358511250974, 93.06645075229571, 114.64300573275624, 61.185669089047614]",22962.252916003137,17364.17970270495,"[71474.97965606354, 25790.086580907868, 14672.203644543095, 15825.035501851591, 20303.159015969675, 6383.599717185485, 11903.587535102524, 24472.600423667944, 18907.385791983463, 35706.41897817685, 7145.725230582522]",0.11932411765137049,0.038684490148574904,"[0.1102639729818484, 0.1080309170840081, 0.09120080702775336, 0.0661583083483851, 0.16797765282092433, 0.05649624947467881, 0.17610311645872606, 0.15135861319942326, 0.1576426763497908, 0.09727532602172209, 0.13005765439781508]"
21.33,16.09090909090909,9.428197552602995,"[40, 18, 7, 16, 16, 9, 11, 19, 13, 22, 6]",93.2165908241696,28.486040458324226,"[165.78745570479913, 101.82021248076946, 95.19725209622416, 78.27870724956261, 89.38088732065201, 53.28159803121339, 72.91421781553605, 95.27192215674094, 94.41329965298294, 115.0495536009242, 63.987392956460624]",23628.542027164975,17775.012942127294,"[73324.88738757906, 27330.314323254883, 14901.367995328708, 16383.128106767112, 21004.86986073073, 6325.12040847571, 12265.71608411712, 25353.44589625683, 19151.204697719157, 36065.32651523504, 7808.581023350356]",0.12575790523130578,0.05147873052492175,"[0.1117554307213339, 0.08352211874463045, 0.08067451735191294, 0.0715829048371911, 0.1785788777004286, 0.061858986729226316, 0.1458511439394138, 0.14334793915988736, 0.15686406916582707, 0.10806052043014451, 0.24124044876436748]"
21.5,16.454545454545453,9.309818863583077,"[39, 20, 6, 17, 16, 10, 10, 21, 15, 21, 6]",93.42290903834522,40.665941865319816,"[204.19636871659958, 101.90015576987062, 72.15426427509023, 78.47526319114432, 87.60372591885776, 52.17747784022191, 70.72742798511328, 103.73056546659907, 95.14007660318043, 116.08015990184815, 45.46651375327204]",27642.544044594197,30669.04775830226,"[119487.61807955438, 27536.113110036626, 9620.413766997783, 16750.60773456636, 21873.3863517572, 5807.045278692825, 11675.175354274063, 29424.294160488796, 21777.96774199001, 36638.96256861295, 3476.4003435652253]",0.1237927309199191,0.05046492102900253,"[0.10593680211768938, 0.08092510587181839, 0.0839817289319719, 0.07856520751961636, 0.16833439466936395, 0.056261604774970164, 0.13601185456021575, 0.14846244728011676, 0.15219318074801785, 0.10932053532116781, 0.24172717832416152]"
