t,inf-count-mean,inf-count-std,inf-count-list,radius-mean(um),radius-std(um),radius-list(um),area-mean(um2),area-std(um2),area-list(um2),radial-velocity-mean(um/min),radial-velocity-std(um/min),radial-velocity-list(um/min)
20.0,13.545454545454545,8.029491096746249,"[17, 6, 3, 19, 20, 19, 10, 13, 4, 9, 29]",99.76508230285775,55.899141895261266,"[86.3456200877875, 33.59773038522918, 20.526591667664444, 124.42811466228609, 82.5030865598154, 84.86861945495943, 68.99010123441072, 199.5177043582906, 182.08194937990174, 59.21508806922349, 155.34129947186653]",17840.79390947297,13641.40857858331,"[20128.9958333065, 1625.8163226793558, 294.0612145853073, 30411.54950059309, 18826.909368892102, 19631.641079953457, 9065.487502203507, 25942.85646209491, 14327.302832282734, 6232.150250729019, 49761.96263688267]",0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
20.17,14.0,8.473488065725943,"[19, 6, 3, 21, 20, 19, 10, 13, 4, 9, 30]",98.19780429769057,52.199483115085954,"[87.68266868388851, 33.359913655641556, 21.422012671366712, 123.37732284189035, 83.36562010619875, 85.123443259857, 69.03976458205523, 177.05715059150756, 181.59124938744395, 61.757973054245966, 156.3987284405005]",18210.78712419457,13788.44319267304,"[21479.27205241738, 1547.9017062467292, 357.94881278574036, 30070.34104133587, 19180.527740350713, 19904.79146021662, 9061.881339405289, 26722.112758898318, 14774.595776995857, 6751.11791826802, 50468.16775921971]",0.07250930204405794,0.04081611339952067,"[0.08998390467681187, 0.039883310569597735, 0.12269825432178567, 0.05398592501808301, 0.04394681318144113, 0.06209510437070748, 0.03620678188483935, 0.13391287313516703, 0.026618424638893145, 0.14433379926235, 0.04393713142496086]"
20.33,14.545454545454545,9.070431482169262,"[21, 6, 3, 20, 21, 18, 12, 13, 4, 9, 33]",98.27789987720412,50.936503522567584,"[92.49313289213319, 33.53202020967269, 22.147436949349956, 124.06225898282614, 83.87568553981566, 88.18250536292527, 71.04863817215133, 177.10165427279776, 181.5280132722243, 61.09485941756641, 145.99069357778257]",18643.611633926655,14094.592709933571,"[24134.40458018702, 1554.8171610752115, 353.14920905417546, 30619.249051266394, 19176.986578587996, 17268.68032179418, 11462.200863466793, 27520.693751445837, 14688.042881044945, 6610.746417531066, 51690.75715773961]",0.07733445893915021,0.04361675222375874,"[0.09210639717032913, 0.04775345170225738, 0.13790459045938863, 0.06103817382604911, 0.04897220703232101, 0.06547294334486643, 0.04001532638347475, 0.13159794856938847, 0.026618424638893145, 0.15898460876965254, 0.04021497643403163]"
20.5,15.181818181818182,9.400193421607684,"[21, 7, 4, 23, 20, 20, 13, 13, 3, 9, 34]",85.74869838459358,45.34997663088914,"[95.29132484649111, 37.75416707166097, 30.29264367423005, 116.14884920911842, 83.13133178206192, 95.16540660147007, 71.46462177920834, 176.83240480041368, 28.649962822574327, 61.31126332977505, 147.19370631352538]",18584.707067034815,15350.915225124016,"[25821.470620506658, 2202.9688099803143, 1643.4414453644304, 32044.17198997701, 18778.378741245957, 22021.58795971135, 12426.801356917655, 28656.654035265678, 978.6528305408732, 6640.458098950909, 53217.19184892216]",0.0725581538060636,0.04147635862745432,"[0.05894035249889053, 0.039849230476451974, 0.12033183501749363, 0.06526179345173574, 0.04708189942198257, 0.05493198026303573, 0.060260428902253416, 0.10803160720733185, 0.027137903835051068, 0.17283055625336224, 0.04348210453911077]"
20.67,16.09090909090909,8.971672591602365,"[24, 9, 6, 24, 20, 20, 13, 14, 3, 11, 33]",88.25596719484882,47.37294795305181,"[99.87601486095645, 42.02888676320356, 32.404471951362645, 119.62303291189454, 80.49722101873456, 95.56655572860875, 71.94789995368387, 181.5605921911906, 28.333121608567097, 60.84154532282205, 158.13629683231275]",19391.19037705624,15336.91013140344,"[26133.301315687047, 4156.323602037013, 2746.1197063754703, 32629.788965609634, 18921.42711344339, 22056.045128119684, 12677.45516996389, 32957.92224907158, 956.8480444519441, 7069.400007585838, 52998.462845273156]",0.06683933297098964,0.0214922602675915,"[0.08714950818057371, 0.06442046095950268, 0.08337242456748117, 0.059214817958564946, 0.045795775203564745, 0.05124256847133361, 0.0552397374407537, 0.10655451458043556, 0.03474800199851309, 0.0938474958915492, 0.053647357428613617]"
20.83,16.90909090909091,8.982811869949693,"[24, 10, 7, 26, 20, 20, 13, 17, 4, 11, 34]",99.59413567238649,58.49425325851542,"[97.71036836040778, 46.164619304203256, 36.84478811174535, 170.48195784400073, 82.31065081764311, 95.5170016836704, 71.71361365068176, 206.06392747173498, 37.54339010642899, 61.61637088722881, 189.56880415850625]",27923.31474345621,30033.81498356853,"[26663.52929314596, 5261.195955472937, 3399.953510662922, 65590.91862855476, 18633.79795578315, 22061.29258820382, 12680.15148937825, 39520.96249879138, 2099.2376868771607, 7156.1549171063125, 104089.26765404163]",0.06566030113854136,0.01991994130343256,"[0.07352896724431278, 0.07354850077460352, 0.059859363257451524, 0.068719435105224, 0.044578997014305524, 0.05841484636571694, 0.055978058591515736, 0.10054547886514598, 0.03474800199851309, 0.10080357115214153, 0.05153809215502432]"
21.0,17.454545454545453,9.657780659795877,"[25, 9, 7, 25, 20, 22, 15, 17, 4, 11, 37]",103.78682720368843,62.12181548313645,"[100.82703344122989, 46.749676502621206, 37.94960136962684, 167.77857959043175, 82.43382704809136, 104.43502690140728, 77.41440953953818, 206.9195214267781, 37.528333814737906, 62.39782150630399, 217.2212680998063]",29737.886059758373,31376.004272798225,"[29605.042863946506, 5392.8245335094, 3631.0881201409375, 65373.43031275145, 18669.02510362138, 26864.81141411509, 16282.523664433513, 41054.34406261473, 2045.0073949171697, 7360.235934853309, 110838.41325243861]",0.06595381819792501,0.022412048267858094,"[0.08116243203304216, 0.0641508534022476, 0.06768667069669707, 0.06732978511937379, 0.04618858633102713, 0.05933042900113861, 0.05868143981098519, 0.11133023382310454, 0.026061001498884816, 0.09502276720099725, 0.04854780125967699]"
21.17,18.0,9.391485505499118,"[26, 10, 8, 25, 20, 23, 15, 17, 5, 12, 37]",91.99969084392313,44.20899530192595,"[101.48366819324355, 46.732770530671324, 41.20301112634987, 128.9821286963705, 82.38379035408911, 104.58054359723086, 77.66877166049923, 174.30308939307352, 36.68747112205085, 61.313424040738504, 156.657930568837]",22837.739220890173,17431.56553115776,"[29960.093361172883, 5389.795456897363, 4147.88246623089, 37881.77135588409, 18676.051149689258, 26916.071805002648, 16522.68550969838, 38860.03681773033, 2439.88940630492, 9144.390970936185, 61276.46313024492]",0.06696017188873055,0.02236487316843692,"[0.07448296718938538, 0.06715858007866707, 0.06712851714679005, 0.06860607232379846, 0.03803837814662446, 0.05410032202503603, 0.0885974334357297, 0.0985762854788553, 0.026061001498884816, 0.10038499276328783, 0.05342734068897691]"
21.33,18.545454545454547,9.212639538847013,"[27, 10, 9, 25, 20, 22, 17, 19, 5, 13, 37]",93.48694483751815,46.166639600418726,"[102.97468159178803, 47.46349038215104, 45.23861171259688, 135.35148251407816, 81.67485096685955, 96.26373863911809, 78.06100825563625, 186.00343888975206, 36.777062604920836, 61.85430861479687, 156.693719041002]",23290.51197244227,17720.586518417454,"[30615.316302291365, 5583.923691509436, 5075.100623609996, 40590.645435642975, 18355.000141657732, 24465.327540899732, 17237.334248778134, 41224.67683543226, 2397.6095285094393, 9385.644197332414, 61265.05315120148]",0.07119243159986521,0.027566371587222013,"[0.07359071364953979, 0.07636025556539926, 0.08540475354381086, 0.06592491574281524, 0.03837248894873081, 0.07395106410018577, 0.062479074521140154, 0.10813061270424844, 0.02219733042003231, 0.12428446461824724, 0.0524210737843674]"
21.5,19.636363636363637,9.29809364625596,"[26, 12, 10, 29, 20, 25, 17, 21, 5, 14, 37]",103.8583876095528,47.05062754645749,"[102.1833490703668, 52.08720737255262, 55.43876032557249, 130.17785082861144, 81.97444618439849, 106.08993129346487, 77.34665270184902, 191.69403738688126, 36.57294489936925, 160.96720286376194, 147.90988077825256]",26193.06971209793,17577.823025683818,"[30468.45305805928, 6777.6077502341395, 6965.036064135132, 41784.04161605204, 18564.46166848502, 26583.779465409258, 16955.74060295963, 50624.00097905306, 2344.0730746841537, 28029.85630863213, 59026.71624537342]",0.07175492657383359,0.03263549508452743,"[0.07121622376225958, 0.07578566129143602, 0.07439580142605813, 0.0646264752860893, 0.037604549767463066, 0.06889880232614617, 0.057172981564537116, 0.14813756703410624, 0.02465744214886783, 0.11447335914116814, 0.052335328564037754]"
